Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarkyh-il-100000-n5
Airfoil,clarkyh-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,49.1801
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-clarkyh-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.250,-0.5726,0.09821,0.09325,-0.0178,1.0000,0.0437
-12.000,-0.6689,0.06830,0.06339,-0.0429,1.0000,0.0425
-11.750,-0.7042,0.05953,0.05443,-0.0498,1.0000,0.0421
-11.500,-0.7375,0.05338,0.04796,-0.0505,1.0000,0.0422
-11.250,-0.7567,0.04829,0.04244,-0.0496,1.0000,0.0430
-11.000,-0.7414,0.04732,0.04154,-0.0487,1.0000,0.0444
-10.750,-0.7343,0.04522,0.03930,-0.0475,1.0000,0.0459
-10.500,-0.7322,0.04222,0.03597,-0.0460,1.0000,0.0478
-10.250,-0.7322,0.03887,0.03207,-0.0439,1.0000,0.0501
-10.000,-0.7290,0.03607,0.02873,-0.0414,1.0000,0.0523
-9.750,-0.7151,0.03484,0.02753,-0.0397,1.0000,0.0542
-9.500,-0.7048,0.03366,0.02623,-0.0373,1.0000,0.0564
-9.250,-0.6973,0.03223,0.02450,-0.0343,1.0000,0.0589
-9.000,-0.6908,0.03071,0.02251,-0.0311,1.0000,0.0612
-8.750,-0.6688,0.02951,0.02135,-0.0307,0.9964,0.0637
-8.500,-0.6374,0.02839,0.02007,-0.0319,0.9895,0.0669
-8.250,-0.6048,0.02703,0.01832,-0.0332,0.9835,0.0706
-8.000,-0.5728,0.02589,0.01710,-0.0344,0.9766,0.0733
-7.750,-0.5381,0.02506,0.01617,-0.0360,0.9710,0.0766
-7.500,-0.5059,0.02415,0.01504,-0.0369,0.9635,0.0799
-7.250,-0.4712,0.02316,0.01384,-0.0382,0.9569,0.0824
-7.000,-0.4391,0.02239,0.01307,-0.0391,0.9479,0.0853
-6.750,-0.4065,0.02171,0.01228,-0.0399,0.9384,0.0891
-6.500,-0.3729,0.02100,0.01140,-0.0407,0.9285,0.0925
-6.250,-0.3449,0.02032,0.01065,-0.0405,0.9157,0.0953
-6.000,-0.3180,0.01970,0.01001,-0.0400,0.9038,0.0990
-5.750,-0.2906,0.01917,0.00937,-0.0396,0.8939,0.1039
-5.500,-0.2661,0.01862,0.00882,-0.0387,0.8829,0.1106
-5.250,-0.2415,0.01811,0.00827,-0.0378,0.8724,0.1201
-5.000,-0.2166,0.01756,0.00784,-0.0370,0.8631,0.1335
-4.750,-0.1925,0.01722,0.00771,-0.0361,0.8514,0.1564
-4.500,-0.1665,0.01708,0.00751,-0.0353,0.8405,0.1904
-4.250,-0.1405,0.01690,0.00726,-0.0345,0.8305,0.2122
-4.000,-0.1154,0.01672,0.00705,-0.0337,0.8183,0.2303
-3.750,-0.0901,0.01652,0.00683,-0.0329,0.8066,0.2469
-3.500,-0.0645,0.01631,0.00661,-0.0322,0.7958,0.2622
-3.250,-0.0390,0.01609,0.00641,-0.0314,0.7841,0.2792
-3.000,-0.0136,0.01588,0.00625,-0.0308,0.7715,0.2987
-2.750,0.0121,0.01566,0.00607,-0.0301,0.7593,0.3182
