Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx63137-il-100000-n5
Airfoil,fx63137-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,63.9174
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-fx63137-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,-0.1622,0.09581,0.09092,-0.0773,0.9536,0.0318
-9.000,-0.1556,0.09046,0.08557,-0.0819,0.9471,0.0324
-8.750,-0.1583,0.08346,0.07860,-0.0877,0.9387,0.0335
-8.500,-0.1464,0.07986,0.07501,-0.0913,0.9323,0.0350
-8.250,-0.1431,0.07473,0.06989,-0.0962,0.9245,0.0380
-8.000,-0.1597,0.06382,0.05897,-0.1064,0.9140,0.0386
-7.750,-0.1747,0.05317,0.04814,-0.1205,0.8994,0.0382
-7.500,-0.1657,0.04578,0.04032,-0.1341,0.8881,0.0401
-7.250,-0.1348,0.04192,0.03608,-0.1420,0.8830,0.0433
-7.000,-0.0904,0.03535,0.02842,-0.1544,0.8800,0.0451
-6.750,-0.0685,0.03331,0.02615,-0.1556,0.8716,0.0456
-6.500,-0.0320,0.03108,0.02360,-0.1591,0.8679,0.0462
-6.250,0.0067,0.02927,0.02153,-0.1626,0.8651,0.0472
-6.000,0.0438,0.02774,0.01971,-0.1654,0.8618,0.0488
-5.750,0.0712,0.02655,0.01828,-0.1661,0.8550,0.0499
-5.500,0.1072,0.02521,0.01668,-0.1681,0.8510,0.0507
-5.250,0.1454,0.02400,0.01524,-0.1703,0.8479,0.0516
-5.000,0.1740,0.02322,0.01445,-0.1707,0.8419,0.0527
-4.750,0.2050,0.02250,0.01371,-0.1715,0.8361,0.0542
-4.500,0.2421,0.02171,0.01285,-0.1733,0.8320,0.0564
-4.250,0.2751,0.02112,0.01215,-0.1744,0.8265,0.0592
-4.000,0.3057,0.02059,0.01166,-0.1753,0.8198,0.0630
-3.750,0.3440,0.01998,0.01096,-0.1777,0.8156,0.0703
-3.500,0.3838,0.01938,0.01036,-0.1805,0.8120,0.0826
-3.250,0.4137,0.01905,0.01008,-0.1815,0.8052,0.1041
-3.000,0.4555,0.01820,0.00954,-0.1852,0.8003,0.1714
-2.750,0.5000,0.01740,0.00934,-0.1892,0.7962,0.3462
-2.500,0.5260,0.01751,0.00957,-0.1889,0.7878,0.4166
-2.250,0.5585,0.01759,0.00963,-0.1894,0.7820,0.4638
-2.000,0.5879,0.01776,0.00975,-0.1894,0.7760,0.4943
-1.750,0.6140,0.01801,0.00996,-0.1888,0.7692,0.5196
-1.500,0.6452,0.01815,0.01003,-0.1890,0.7641,0.5446
-1.250,0.6700,0.01838,0.01024,-0.1882,0.7571,0.5625
-1.000,0.6983,0.01848,0.01026,-0.1880,0.7505,0.5763
-0.750,0.7285,0.01846,0.01018,-0.1881,0.7447,0.5853
-0.500,0.7547,0.01858,0.01024,-0.1878,0.7362,0.5961
-0.250,0.7854,0.01855,0.01015,-0.1880,0.7303,0.6053
0.000,0.8111,0.01870,0.01027,-0.1876,0.7225,0.6147
0.250,0.8396,0.01875,0.01028,-0.1876,0.7160,0.6225
0.500,0.8692,0.01882,0.01029,-0.1879,0.7097,0.6314
0.750,0.8939,0.01895,0.01045,-0.1873,0.7018,0.6388
1.000,0.9262,0.01895,0.01037,-0.1880,0.6961,0.6484
1.250,0.9484,0.01914,0.01062,-0.1869,0.6872,0.6563
1.500,0.9796,0.01915,0.01057,-0.1874,0.6808,0.6660
1.750,1.0035,0.01932,0.01078,-0.1866,0.6723,0.6739
2.000,1.0337,0.01934,0.01076,-0.1869,0.6648,0.6831
2.250,1.0575,0.01949,0.01095,-0.1861,0.6554,0.6908
2.500,1.0870,0.01952,0.01094,-0.1863,0.6472,0.6998
2.750,1.1093,0.01972,0.01121,-0.1852,0.6371,0.7077
3.000,1.1383,0.01976,0.01121,-0.1852,0.6293,0.7176
3.250,1.1607,0.01997,0.01150,-0.1842,0.6195,0.7269
3.500,1.1883,0.02004,0.01157,-0.1840,0.6114,0.7374
3.750,1.2120,0.02025,0.01183,-0.1832,0.6012,0.7487
4.000,1.2361,0.02038,0.01200,-0.1824,0.5914,0.7598
4.250,1.2603,0.02051,0.01215,-0.1816,0.5804,0.7722
4.500,1.2815,0.02073,0.01243,-0.1803,0.5676,0.7854
4.750,1.3035,0.02089,0.01262,-0.1791,0.5550,0.7997
5.000,1.3255,0.02102,0.01276,-0.1779,0.5428,0.8156
5.250,1.3462,0.02119,0.01296,-0.1764,0.5310,0.8343
5.500,1.3620,0.02142,0.01329,-0.1742,0.5183,0.8586
5.750,1.3737,0.02153,0.01349,-0.1710,0.5059,0.9051
6.000,1.3934,0.02180,0.01376,-0.1696,0.4917,1.0000
6.250,1.4167,0.02224,0.01412,-0.1691,0.4772,1.0000
6.500,1.4377,0.02274,0.01456,-0.1681,0.4620,1.0000
6.750,1.4556,0.02332,0.01515,-0.1667,0.4457,1.0000
7.250,1.4875,0.02454,0.01630,-0.1631,0.4154,1.0000
7.500,1.5022,0.02525,0.01700,-0.1612,0.4011,1.0000
7.750,1.5160,0.02600,0.01780,-0.1592,0.3869,1.0000
8.000,1.5294,0.02680,0.01864,-0.1573,0.3733,1.0000
8.250,1.5411,0.02770,0.01953,-0.1551,0.3591,1.0000
8.500,1.5514,0.02870,0.02050,-0.1528,0.3452,1.0000
8.750,1.5606,0.02980,0.02163,-0.1506,0.3304,1.0000
9.000,1.5696,0.03097,0.02286,-0.1484,0.3141,1.0000
9.250,1.5760,0.03233,0.02421,-0.1461,0.2981,1.0000
9.500,1.5805,0.03390,0.02573,-0.1437,0.2835,1.0000
9.750,1.5859,0.03551,0.02738,-0.1416,0.2675,1.0000
10.000,1.5902,0.03728,0.02918,-0.1395,0.2488,1.0000
10.250,1.5907,0.03941,0.03126,-0.1374,0.2335,1.0000
10.500,1.5921,0.04161,0.03345,-0.1355,0.2199,1.0000
10.750,1.5953,0.04377,0.03567,-0.1339,0.2039,1.0000
11.000,1.5952,0.04631,0.03822,-0.1323,0.1888,1.0000
11.250,1.5932,0.04913,0.04102,-0.1307,0.1771,1.0000
11.500,1.5912,0.05208,0.04397,-0.1294,0.1658,1.0000
