Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx63137-il-200000-n5
Airfoil,fx63137-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,85.1715
Max Cl/Cd alpha,3.75
Url,http://airfoiltools.com/polar/csv?polar=xf-fx63137-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,-0.2513,0.06200,0.05840,-0.1032,0.9344,0.0184
-9.500,-0.3218,0.03337,0.02864,-0.1426,0.9066,0.0181
-9.250,-0.2866,0.03087,0.02595,-0.1500,0.9007,0.0189
-9.000,-0.2465,0.02887,0.02372,-0.1566,0.8968,0.0202
-8.750,-0.2162,0.02648,0.02091,-0.1614,0.8885,0.0220
-8.500,-0.1777,0.02628,0.02072,-0.1646,0.8835,0.0233
-8.250,-0.1405,0.02431,0.01829,-0.1692,0.8779,0.0251
-8.000,-0.1092,0.02340,0.01725,-0.1712,0.8702,0.0258
-7.750,-0.0731,0.02246,0.01614,-0.1740,0.8647,0.0265
-7.500,-0.0423,0.02153,0.01502,-0.1757,0.8580,0.0272
-7.250,-0.0102,0.02058,0.01385,-0.1774,0.8516,0.0281
-7.000,0.0248,0.01964,0.01261,-0.1795,0.8466,0.0293
-6.750,0.0531,0.01915,0.01208,-0.1802,0.8399,0.0301
-6.500,0.0845,0.01861,0.01142,-0.1814,0.8342,0.0310
-6.250,0.1176,0.01806,0.01071,-0.1828,0.8290,0.0324
-6.000,0.1454,0.01757,0.01006,-0.1831,0.8214,0.0337
-5.750,0.1766,0.01705,0.00950,-0.1842,0.8150,0.0349
-5.500,0.2063,0.01658,0.00896,-0.1848,0.8087,0.0359
-5.250,0.2360,0.01612,0.00843,-0.1855,0.8025,0.0369
-5.000,0.2680,0.01567,0.00789,-0.1865,0.7975,0.0380
-4.750,0.2983,0.01529,0.00741,-0.1873,0.7919,0.0390
-4.500,0.3298,0.01481,0.00692,-0.1884,0.7858,0.0402
-4.250,0.3631,0.01443,0.00647,-0.1898,0.7804,0.0420
-4.000,0.3941,0.01412,0.00609,-0.1907,0.7743,0.0446
-3.750,0.4258,0.01382,0.00577,-0.1917,0.7682,0.0485
-3.500,0.4585,0.01359,0.00549,-0.1929,0.7631,0.0553
-3.250,0.4885,0.01341,0.00529,-0.1934,0.7568,0.0662
-3.000,0.5205,0.01315,0.00508,-0.1945,0.7508,0.0850
-2.750,0.5532,0.01294,0.00488,-0.1957,0.7455,0.1166
-2.500,0.5853,0.01260,0.00476,-0.1970,0.7386,0.1879
-2.250,0.6201,0.01219,0.00469,-0.1990,0.7325,0.3088
-2.000,0.6513,0.01208,0.00474,-0.1998,0.7265,0.3810
-1.750,0.6804,0.01209,0.00482,-0.2000,0.7198,0.4231
