Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx74cl5140-il-1000000-n5
Airfoil,fx74cl5140-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,149.735
Max Cl/Cd alpha,6.25
Url,http://airfoiltools.com/polar/csv?polar=xf-fx74cl5140-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,0.3241,0.08973,0.08520,-0.1462,0.4721,0.0068
-9.250,0.3327,0.08772,0.08320,-0.1472,0.4713,0.0068
-9.000,0.3414,0.08555,0.08104,-0.1480,0.4704,0.0068
-8.750,0.3504,0.08350,0.07899,-0.1487,0.4693,0.0068
-8.250,0.3684,0.07910,0.07460,-0.1497,0.4662,0.0068
-8.000,0.3785,0.07707,0.07257,-0.1499,0.4655,0.0069
-7.500,0.3963,0.07328,0.06880,-0.1507,0.4633,0.0069
-7.250,0.4052,0.07146,0.06700,-0.1510,0.4628,0.0070
-7.000,0.4135,0.06963,0.06520,-0.1512,0.4622,0.0070
-6.750,0.4215,0.06787,0.06345,-0.1513,0.4615,0.0071
-6.500,0.4290,0.06622,0.06183,-0.1513,0.4608,0.0073
-6.250,0.4351,0.06453,0.06017,-0.1510,0.4601,0.0075
-6.000,0.4392,0.06297,0.05864,-0.1502,0.4594,0.0079
-5.750,0.4418,0.06151,0.05721,-0.1492,0.4587,0.0079
-5.500,0.4499,0.05967,0.05540,-0.1498,0.4580,0.0084
-5.250,0.4599,0.05762,0.05336,-0.1510,0.4572,0.0088
-5.000,0.4718,0.05532,0.05108,-0.1532,0.4564,0.0089
-4.750,0.4873,0.05284,0.04861,-0.1565,0.4556,0.0089
-4.500,0.5055,0.05034,0.04611,-0.1600,0.4548,0.0089
-4.250,0.5275,0.04765,0.04341,-0.1644,0.4539,0.0090
-4.000,0.5542,0.04472,0.04046,-0.1699,0.4530,0.0090
-3.750,0.5844,0.04171,0.03741,-0.1757,0.4521,0.0090
-3.500,0.6177,0.03871,0.03434,-0.1816,0.4511,0.0090
-3.250,0.6549,0.03560,0.03115,-0.1879,0.4500,0.0090
-3.000,0.6955,0.03252,0.02796,-0.1943,0.4488,0.0090
-2.750,0.7393,0.02943,0.02473,-0.2008,0.4478,0.0090
-2.500,0.7866,0.02630,0.02146,-0.2074,0.4473,0.0090
-2.250,0.8356,0.02326,0.01822,-0.2137,0.4467,0.0090
