Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-fx74cl5140-il-200000-n5
Airfoil,fx74cl5140-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,73.7613
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-fx74cl5140-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.750,0.2827,0.09895,0.09253,-0.1336,0.5427,0.0164
-9.500,0.2916,0.09683,0.09041,-0.1345,0.5404,0.0168
-9.250,0.3005,0.09480,0.08838,-0.1353,0.5379,0.0169
-9.000,0.3085,0.09287,0.08646,-0.1364,0.5360,0.0171
-8.750,0.3165,0.09101,0.08458,-0.1372,0.5338,0.0172
-8.500,0.3232,0.08926,0.08282,-0.1383,0.5323,0.0173
-8.250,0.3334,0.08684,0.08038,-0.1386,0.5305,0.0174
-8.000,0.3441,0.08457,0.07810,-0.1387,0.5285,0.0178
-7.750,0.3534,0.08262,0.07618,-0.1392,0.5266,0.0180
-7.500,0.3624,0.08074,0.07431,-0.1396,0.5247,0.0182
-7.250,0.3711,0.07883,0.07242,-0.1401,0.5230,0.0189
-7.000,0.3794,0.07699,0.07060,-0.1405,0.5214,0.0192
-6.750,0.3866,0.07514,0.06877,-0.1409,0.5199,0.0201
-6.500,0.3923,0.07350,0.06715,-0.1414,0.5185,0.0205
-6.250,0.3902,0.07242,0.06611,-0.1418,0.5173,0.0208
-6.000,0.4043,0.06986,0.06353,-0.1410,0.5158,0.0215
-5.750,0.4106,0.06837,0.06204,-0.1406,0.5145,0.0222
-5.500,0.4189,0.06675,0.06042,-0.1411,0.5133,0.0232
-5.250,0.4284,0.06499,0.05867,-0.1423,0.5121,0.0240
-5.000,0.4404,0.06305,0.05678,-0.1458,0.5108,0.0248
-4.750,0.4596,0.06067,0.05441,-0.1522,0.5094,0.0250
-4.500,0.4726,0.05837,0.05214,-0.1526,0.5078,0.0253
-4.250,0.4847,0.05651,0.05030,-0.1519,0.5062,0.0259
-4.000,0.5026,0.05447,0.04825,-0.1541,0.5046,0.0267
-3.750,0.5256,0.05215,0.04591,-0.1582,0.5030,0.0278
-3.500,0.5809,0.04794,0.04152,-0.1737,0.5015,0.0299
-3.250,0.6026,0.04545,0.03900,-0.1758,0.5002,0.0305
-3.000,0.6246,0.04368,0.03720,-0.1772,0.4989,0.0316
-2.750,0.6991,0.03964,0.03269,-0.1929,0.4975,0.0360
-2.500,0.7172,0.03769,0.03079,-0.1932,0.4963,0.0370
-2.250,0.7492,0.03596,0.02902,-0.1964,0.4951,0.0395
-2.000,0.8010,0.03315,0.02595,-0.2041,0.4936,0.0448
-1.500,0.8813,0.02972,0.02221,-0.2125,0.4907,0.0557
-1.250,0.9264,0.02812,0.02033,-0.2172,0.4892,0.0651
-1.000,0.9806,0.02537,0.01707,-0.2226,0.4877,0.0454
-0.500,1.0693,0.02206,0.01281,-0.2288,0.4848,0.0237
-0.250,1.1039,0.02144,0.01195,-0.2302,0.4833,0.0224
0.000,1.1370,0.02105,0.01130,-0.2312,0.4820,0.0213
0.250,1.1686,0.02088,0.01097,-0.2321,0.4808,0.0208
0.500,1.2012,0.02068,0.01070,-0.2333,0.4796,0.0205
0.750,1.2318,0.02053,0.01060,-0.2341,0.4784,0.0204
1.000,1.2626,0.02048,0.01057,-0.2350,0.4770,0.0204
1.250,1.2934,0.02050,0.01060,-0.2359,0.4756,0.0205
1.500,1.3233,0.02058,0.01065,-0.2367,0.4740,0.0208
1.750,1.3530,0.02067,0.01071,-0.2373,0.4723,0.0215
2.000,1.3821,0.02078,0.01078,-0.2379,0.4706,0.0250
2.500,1.4542,0.02042,0.01168,-0.2423,0.4674,0.7315
2.750,1.4790,0.02060,0.01187,-0.2418,0.4661,0.7787
3.000,1.5018,0.02073,0.01202,-0.2408,0.4649,0.8251
3.250,1.5183,0.02074,0.01209,-0.2385,0.4638,0.8891
3.500,1.5370,0.02088,0.01232,-0.2369,0.4623,1.0000
3.750,1.5630,0.02124,0.01269,-0.2370,0.4606,1.0000
