Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n63415-il-200000-n5
Airfoil,n63415-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,70.0072
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-n63415-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.500,-0.7116,0.07866,0.07427,-0.0592,1.0000,0.0221
-14.250,-0.7467,0.06920,0.06456,-0.0655,1.0000,0.0220
-14.000,-0.7709,0.06247,0.05760,-0.0695,1.0000,0.0220
-13.750,-0.7875,0.05734,0.05227,-0.0722,1.0000,0.0222
-13.500,-0.8014,0.05289,0.04762,-0.0742,1.0000,0.0224
-13.250,-0.8121,0.04910,0.04361,-0.0755,1.0000,0.0227
-13.000,-0.8204,0.04579,0.04008,-0.0762,1.0000,0.0231
-12.750,-0.8276,0.04277,0.03681,-0.0764,1.0000,0.0235
-12.500,-0.8329,0.04014,0.03393,-0.0761,1.0000,0.0240
-12.250,-0.8283,0.03842,0.03217,-0.0755,1.0000,0.0243
-12.000,-0.8237,0.03689,0.03060,-0.0747,1.0000,0.0247
-11.750,-0.8196,0.03555,0.02921,-0.0735,1.0000,0.0251
-11.500,-0.8171,0.03421,0.02779,-0.0719,1.0000,0.0255
-11.250,-0.8172,0.03301,0.02651,-0.0695,1.0000,0.0260
-11.000,-0.8204,0.03199,0.02541,-0.0662,1.0000,0.0264
-10.750,-0.8044,0.03056,0.02381,-0.0663,0.9913,0.0273
-10.500,-0.7763,0.02904,0.02202,-0.0683,0.9811,0.0285
-10.250,-0.7472,0.02768,0.02063,-0.0704,0.9718,0.0295
-10.000,-0.7183,0.02657,0.01947,-0.0721,0.9612,0.0306
-9.750,-0.6894,0.02545,0.01824,-0.0737,0.9510,0.0318
-9.500,-0.6597,0.02435,0.01698,-0.0752,0.9414,0.0332
-9.250,-0.6322,0.02331,0.01584,-0.0762,0.9306,0.0346
-9.000,-0.6068,0.02245,0.01495,-0.0769,0.9195,0.0361
-8.750,-0.5812,0.02168,0.01410,-0.0774,0.9092,0.0378
-8.500,-0.5582,0.02096,0.01328,-0.0772,0.8981,0.0394
-8.250,-0.5364,0.02024,0.01246,-0.0768,0.8877,0.0410
-8.000,-0.5150,0.01954,0.01172,-0.0763,0.8781,0.0428
-7.750,-0.4936,0.01898,0.01111,-0.0758,0.8680,0.0451
-7.500,-0.4709,0.01846,0.01047,-0.0753,0.8596,0.0474
-7.250,-0.4498,0.01783,0.00981,-0.0747,0.8502,0.0500
-7.000,-0.4267,0.01732,0.00924,-0.0743,0.8426,0.0530
-6.750,-0.4033,0.01688,0.00870,-0.0739,0.8339,0.0564
-6.500,-0.3800,0.01633,0.00812,-0.0735,0.8268,0.0608
-6.250,-0.3557,0.01591,0.00764,-0.0732,0.8186,0.0663
-6.000,-0.3314,0.01541,0.00713,-0.0730,0.8115,0.0743
-5.750,-0.3067,0.01494,0.00668,-0.0729,0.8042,0.0873
-5.500,-0.2820,0.01442,0.00623,-0.0728,0.7969,0.1103
-5.250,-0.2570,0.01388,0.00580,-0.0728,0.7905,0.1478
-5.000,-0.2323,0.01323,0.00538,-0.0729,0.7830,0.2017
-4.750,-0.2076,0.01251,0.00496,-0.0731,0.7767,0.2812
-4.500,-0.1820,0.01196,0.00473,-0.0732,0.7698,0.3617
-4.250,-0.1550,0.01171,0.00461,-0.0733,0.7631,0.4161
-4.000,-0.1273,0.01158,0.00451,-0.0733,0.7572,0.4540
-3.750,-0.0996,0.01151,0.00449,-0.0733,0.7501,0.4885
-3.500,-0.0718,0.01148,0.00447,-0.0732,0.7441,0.5164
-3.250,-0.0436,0.01148,0.00444,-0.0732,0.7379,0.5362
-3.000,-0.0155,0.01147,0.00441,-0.0732,0.7311,0.5508
-2.750,0.0127,0.01149,0.00437,-0.0731,0.7256,0.5651
-2.500,0.0409,0.01150,0.00437,-0.0731,0.7190,0.5776
-2.250,0.0695,0.01149,0.00429,-0.0732,0.7126,0.5871
-2.000,0.0978,0.01149,0.00424,-0.0732,0.7072,0.5942
-1.750,0.1263,0.01149,0.00421,-0.0734,0.7006,0.6021
-1.500,0.1547,0.01149,0.00417,-0.0734,0.6947,0.6092
-1.250,0.1831,0.01150,0.00414,-0.0735,0.6890,0.6162
-1.000,0.2118,0.01151,0.00411,-0.0737,0.6825,0.6235
-0.750,0.2400,0.01152,0.00411,-0.0736,0.6771,0.6293
-0.500,0.2686,0.01154,0.00410,-0.0738,0.6713,0.6361
-0.250,0.2970,0.01156,0.00412,-0.0739,0.6649,0.6425
0.000,0.3253,0.01159,0.00413,-0.0739,0.6596,0.6485
0.250,0.3539,0.01163,0.00415,-0.0741,0.6539,0.6554
0.500,0.3820,0.01167,0.00421,-0.0742,0.6478,0.6612
0.750,0.4103,0.01172,0.00424,-0.0742,0.6426,0.6678
1.000,0.4389,0.01177,0.00430,-0.0744,0.6367,0.6749
1.250,0.4666,0.01182,0.00440,-0.0743,0.6308,0.6804
1.500,0.4950,0.01189,0.00444,-0.0744,0.6257,0.6875
1.750,0.5230,0.01195,0.00456,-0.0745,0.6194,0.6942
2.000,0.5507,0.01202,0.00467,-0.0745,0.6134,0.7005
2.250,0.5793,0.01211,0.00472,-0.0746,0.6082,0.7080
2.500,0.6065,0.01218,0.00489,-0.0745,0.6014,0.7142
2.750,0.6343,0.01226,0.00500,-0.0745,0.5953,0.7215
3.000,0.6621,0.01236,0.00512,-0.0745,0.5892,0.7284
3.250,0.6892,0.01244,0.00529,-0.0743,0.5824,0.7353
3.500,0.7172,0.01255,0.00540,-0.0744,0.5765,0.7433
3.750,0.7437,0.01264,0.00560,-0.0741,0.5692,0.7497
4.000,0.7710,0.01275,0.00574,-0.0740,0.5620,0.7577
4.250,0.7971,0.01284,0.00592,-0.0737,0.5529,0.7647
4.500,0.8233,0.01294,0.00603,-0.0733,0.5425,0.7727
4.750,0.8488,0.01304,0.00621,-0.0729,0.5308,0.7802
5.000,0.8742,0.01315,0.00640,-0.0724,0.5195,0.7883
5.250,0.8992,0.01328,0.00657,-0.0718,0.5068,0.7965
5.500,0.9233,0.01342,0.00674,-0.0711,0.4919,0.8050
5.750,0.9463,0.01359,0.00693,-0.0702,0.4704,0.8137
6.000,0.9675,0.01382,0.00712,-0.0690,0.4421,0.8232
6.250,0.9873,0.01413,0.00736,-0.0677,0.4103,0.8325
6.750,1.0225,0.01502,0.00807,-0.0644,0.3395,0.8540
7.000,1.0350,0.01572,0.00859,-0.0620,0.2958,0.8661
7.250,1.0445,0.01653,0.00922,-0.0593,0.2516,0.8802
7.500,1.0515,0.01738,0.00990,-0.0561,0.2121,0.8980
7.750,1.0577,0.01818,0.01058,-0.0529,0.1795,0.9226
8.000,1.0654,0.01893,0.01124,-0.0502,0.1513,1.0000
8.250,1.0759,0.01996,0.01212,-0.0484,0.1249,1.0000
8.500,1.0858,0.02103,0.01308,-0.0467,0.1035,1.0000
8.750,1.0953,0.02216,0.01413,-0.0450,0.0863,1.0000
9.000,1.1049,0.02332,0.01523,-0.0435,0.0739,1.0000
9.250,1.1149,0.02450,0.01639,-0.0421,0.0649,1.0000
9.500,1.1246,0.02574,0.01763,-0.0408,0.0583,1.0000
9.750,1.1333,0.02710,0.01897,-0.0395,0.0530,1.0000
10.000,1.1435,0.02839,0.02032,-0.0384,0.0490,1.0000
10.250,1.1520,0.02985,0.02179,-0.0373,0.0456,1.0000
10.500,1.1607,0.03134,0.02332,-0.0364,0.0429,1.0000
10.750,1.1699,0.03283,0.02488,-0.0355,0.0404,1.0000
11.000,1.1771,0.03453,0.02661,-0.0347,0.0383,1.0000
