Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n64012a-il-50000-n5
Airfoil,n64012a-il
Reynolds number,50000
Ncrit,5
Mach,0
Max Cl/Cd,27.2303
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-n64012a-il-50000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.000,-0.7891,0.07868,0.07096,-0.0314,1.0000,0.0480
-10.750,-0.8055,0.07444,0.06657,-0.0317,1.0000,0.0479
-10.500,-0.8210,0.07066,0.06261,-0.0307,1.0000,0.0478
-10.250,-0.8336,0.06707,0.05879,-0.0292,1.0000,0.0478
-10.000,-0.8424,0.06345,0.05487,-0.0276,1.0000,0.0479
-9.750,-0.8458,0.05986,0.05104,-0.0261,1.0000,0.0484
-9.500,-0.8413,0.05674,0.04774,-0.0250,1.0000,0.0496
-9.250,-0.8334,0.05409,0.04495,-0.0238,1.0000,0.0510
-9.000,-0.8262,0.05132,0.04191,-0.0224,1.0000,0.0525
-8.750,-0.8173,0.04843,0.03867,-0.0208,1.0000,0.0537
-8.500,-0.8051,0.04552,0.03537,-0.0193,1.0000,0.0546
-8.250,-0.7893,0.04277,0.03223,-0.0180,1.0000,0.0558
-8.000,-0.7701,0.04025,0.02930,-0.0169,1.0000,0.0573
-7.750,-0.7492,0.03811,0.02673,-0.0159,1.0000,0.0600
-7.500,-0.7265,0.03617,0.02483,-0.0155,1.0000,0.0637
-7.250,-0.7013,0.03445,0.02295,-0.0149,1.0000,0.0677
-7.000,-0.6731,0.03286,0.02108,-0.0144,1.0000,0.0718
-6.750,-0.6507,0.03140,0.01973,-0.0136,1.0000,0.0781
-6.500,-0.6286,0.03021,0.01833,-0.0124,1.0000,0.0858
-6.250,-0.6123,0.02886,0.01707,-0.0108,1.0000,0.0936
-6.000,-0.5979,0.02764,0.01587,-0.0089,1.0000,0.1057
-5.750,-0.5858,0.02635,0.01466,-0.0066,1.0000,0.1211
-5.500,-0.5763,0.02493,0.01347,-0.0042,1.0000,0.1481
