Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n64012a-il-500000-n5
Airfoil,n64012a-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,52.0945
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-n64012a-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.500,-1.0000,0.08866,0.08581,-0.0089,1.0000,0.0093
-15.250,-1.0293,0.07851,0.07547,-0.0152,1.0000,0.0093
-15.000,-1.0523,0.07055,0.06732,-0.0199,1.0000,0.0093
-14.750,-1.0712,0.06400,0.06057,-0.0233,1.0000,0.0093
-14.500,-1.0856,0.05853,0.05491,-0.0258,1.0000,0.0094
-14.250,-1.0969,0.05387,0.05005,-0.0276,1.0000,0.0094
-14.000,-1.1121,0.04901,0.04498,-0.0288,1.0000,0.0095
-13.750,-1.1211,0.04521,0.04101,-0.0294,1.0000,0.0096
-13.500,-1.1243,0.04227,0.03793,-0.0294,1.0000,0.0098
-13.250,-1.1236,0.03990,0.03545,-0.0292,1.0000,0.0099
-13.000,-1.1204,0.03793,0.03337,-0.0287,1.0000,0.0101
-12.750,-1.1157,0.03619,0.03152,-0.0280,1.0000,0.0102
-12.500,-1.1102,0.03455,0.02977,-0.0270,1.0000,0.0104
-12.250,-1.1040,0.03302,0.02811,-0.0258,1.0000,0.0106
-12.000,-1.0972,0.03153,0.02648,-0.0243,1.0000,0.0108
-11.750,-1.0892,0.03012,0.02493,-0.0227,1.0000,0.0110
-11.500,-1.0799,0.02879,0.02345,-0.0210,1.0000,0.0112
-11.250,-1.0692,0.02756,0.02207,-0.0193,1.0000,0.0114
-11.000,-1.0568,0.02639,0.02076,-0.0176,1.0000,0.0117
-10.750,-1.0420,0.02527,0.01950,-0.0163,1.0000,0.0119
-10.500,-1.0256,0.02429,0.01839,-0.0151,1.0000,0.0122
-10.250,-1.0078,0.02343,0.01741,-0.0140,1.0000,0.0125
-10.000,-0.9890,0.02267,0.01654,-0.0131,1.0000,0.0127
-9.750,-0.9741,0.02131,0.01507,-0.0116,1.0000,0.0131
-9.500,-0.9564,0.02040,0.01410,-0.0104,1.0000,0.0134
-9.250,-0.9375,0.01964,0.01328,-0.0094,1.0000,0.0137
-9.000,-0.9181,0.01895,0.01254,-0.0083,1.0000,0.0140
-8.750,-0.8985,0.01829,0.01183,-0.0073,1.0000,0.0143
-8.500,-0.8789,0.01766,0.01114,-0.0061,1.0000,0.0147
-8.250,-0.8594,0.01707,0.01049,-0.0050,1.0000,0.0151
-8.000,-0.8400,0.01654,0.00991,-0.0037,1.0000,0.0156
-7.750,-0.8210,0.01604,0.00936,-0.0023,1.0000,0.0161
-7.500,-0.7996,0.01553,0.00879,-0.0015,0.9986,0.0165
-7.250,-0.7692,0.01484,0.00805,-0.0026,0.9923,0.0171
-7.000,-0.7388,0.01418,0.00735,-0.0037,0.9848,0.0180
-6.750,-0.7083,0.01369,0.00683,-0.0047,0.9760,0.0190
-6.500,-0.6777,0.01325,0.00636,-0.0057,0.9659,0.0201
-6.250,-0.6474,0.01285,0.00590,-0.0065,0.9545,0.0214
-6.000,-0.6184,0.01244,0.00544,-0.0070,0.9415,0.0231
-5.750,-0.5912,0.01207,0.00506,-0.0071,0.9266,0.0258
-5.500,-0.5650,0.01180,0.00473,-0.0069,0.9112,0.0288
