Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n64212-il-500000-n5
Airfoil,n64212-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,67.7576
Max Cl/Cd alpha,3.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n64212-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14.000,-0.8726,0.06656,0.06376,-0.0405,1.0000,0.0102
-13.750,-0.9037,0.05782,0.05479,-0.0462,1.0000,0.0102
-13.500,-0.9294,0.05106,0.04780,-0.0499,1.0000,0.0102
-13.250,-0.9466,0.04611,0.04263,-0.0519,1.0000,0.0103
-13.000,-0.9591,0.04210,0.03842,-0.0528,1.0000,0.0103
-12.750,-0.9662,0.03898,0.03509,-0.0530,1.0000,0.0106
-12.500,-0.9730,0.03607,0.03198,-0.0525,1.0000,0.0107
-12.250,-0.9775,0.03354,0.02922,-0.0514,1.0000,0.0108
-12.000,-0.9771,0.03163,0.02713,-0.0500,1.0000,0.0110
-11.750,-0.9754,0.02998,0.02529,-0.0481,1.0000,0.0112
-11.500,-0.9705,0.02862,0.02375,-0.0460,1.0000,0.0113
-11.250,-0.9630,0.02694,0.02189,-0.0444,1.0000,0.0115
-11.000,-0.9513,0.02563,0.02046,-0.0432,1.0000,0.0118
-10.750,-0.9358,0.02469,0.01945,-0.0422,1.0000,0.0120
-10.500,-0.9174,0.02415,0.01887,-0.0414,1.0000,0.0124
-10.250,-0.9003,0.02322,0.01784,-0.0404,1.0000,0.0127
-10.000,-0.8818,0.02249,0.01704,-0.0396,1.0000,0.0131
-9.750,-0.8637,0.02162,0.01606,-0.0386,1.0000,0.0134
-9.500,-0.8458,0.02072,0.01505,-0.0375,1.0000,0.0138
-9.250,-0.8167,0.01973,0.01391,-0.0387,0.9874,0.0142
-9.000,-0.7851,0.01883,0.01288,-0.0403,0.9749,0.0146
-8.750,-0.7539,0.01792,0.01186,-0.0418,0.9630,0.0150
-8.500,-0.7246,0.01707,0.01096,-0.0429,0.9497,0.0157
-8.250,-0.6976,0.01651,0.01032,-0.0433,0.9358,0.0162
-8.000,-0.6732,0.01597,0.00970,-0.0430,0.9215,0.0167
-7.750,-0.6500,0.01544,0.00909,-0.0425,0.9084,0.0171
-7.500,-0.6269,0.01494,0.00850,-0.0419,0.8959,0.0177
-7.250,-0.6037,0.01446,0.00791,-0.0412,0.8847,0.0183
-7.000,-0.5799,0.01404,0.00738,-0.0407,0.8736,0.0189
-6.750,-0.5562,0.01355,0.00682,-0.0402,0.8630,0.0197
-6.500,-0.5320,0.01310,0.00632,-0.0398,0.8533,0.0207
-6.250,-0.5070,0.01275,0.00591,-0.0395,0.8436,0.0218
-6.000,-0.4816,0.01241,0.00550,-0.0392,0.8343,0.0229
-5.750,-0.4559,0.01211,0.00512,-0.0389,0.8255,0.0241
-5.500,-0.4301,0.01177,0.00471,-0.0387,0.8163,0.0256
-5.250,-0.4042,0.01144,0.00434,-0.0385,0.8079,0.0278
-5.000,-0.3777,0.01119,0.00404,-0.0384,0.7992,0.0301
-4.750,-0.3508,0.01097,0.00376,-0.0384,0.7913,0.0325
-4.500,-0.3242,0.01070,0.00346,-0.0383,0.7831,0.0371
-4.250,-0.2971,0.01049,0.00322,-0.0383,0.7751,0.0416
-4.000,-0.2702,0.01025,0.00298,-0.0382,0.7668,0.0511
-3.750,-0.2434,0.00995,0.00275,-0.0382,0.7589,0.0712
-3.500,-0.2169,0.00957,0.00249,-0.0383,0.7511,0.1120
-3.250,-0.1908,0.00905,0.00223,-0.0384,0.7437,0.1844
-3.000,-0.1652,0.00838,0.00193,-0.0385,0.7362,0.2909
-2.750,-0.1399,0.00764,0.00170,-0.0387,0.7291,0.4319
