Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca64a010-il-100000-n5
Airfoil,naca64a010-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,34.5195
Max Cl/Cd alpha,3.25
Url,http://airfoiltools.com/polar/csv?polar=xf-naca64a010-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.000,-0.6744,0.08761,0.08238,-0.0232,1.0000,0.0259
-10.750,-0.6865,0.08151,0.07625,-0.0269,1.0000,0.0256
-10.500,-0.7020,0.07584,0.07053,-0.0302,1.0000,0.0255
-10.250,-0.7187,0.07096,0.06556,-0.0323,1.0000,0.0253
-10.000,-0.7359,0.06681,0.06130,-0.0329,1.0000,0.0252
-9.750,-0.7530,0.06319,0.05755,-0.0318,1.0000,0.0251
-9.500,-0.7674,0.05989,0.05409,-0.0296,1.0000,0.0250
-9.250,-0.7769,0.05632,0.05029,-0.0277,1.0000,0.0249
-9.000,-0.7831,0.05267,0.04636,-0.0255,1.0000,0.0250
-8.750,-0.7849,0.04917,0.04253,-0.0233,1.0000,0.0250
-8.500,-0.7835,0.04576,0.03873,-0.0210,1.0000,0.0251
-8.250,-0.7786,0.04252,0.03504,-0.0186,1.0000,0.0252
-8.000,-0.7703,0.03952,0.03159,-0.0164,1.0000,0.0255
-7.750,-0.7599,0.03664,0.02834,-0.0144,1.0000,0.0264
-7.500,-0.7458,0.03468,0.02626,-0.0131,1.0000,0.0279
-7.250,-0.7294,0.03291,0.02428,-0.0116,1.0000,0.0293
-7.000,-0.7116,0.03084,0.02192,-0.0101,1.0000,0.0302
-6.750,-0.6920,0.02883,0.01961,-0.0086,1.0000,0.0311
-6.500,-0.6711,0.02704,0.01758,-0.0073,1.0000,0.0322
-6.250,-0.6497,0.02547,0.01578,-0.0061,1.0000,0.0337
-6.000,-0.6293,0.02412,0.01429,-0.0048,1.0000,0.0361
-5.750,-0.6107,0.02290,0.01311,-0.0034,1.0000,0.0390
-5.500,-0.5920,0.02180,0.01197,-0.0018,1.0000,0.0412
-5.250,-0.5744,0.02080,0.01090,0.0001,1.0000,0.0439
-5.000,-0.5581,0.01988,0.00989,0.0021,1.0000,0.0475
-4.750,-0.5423,0.01909,0.00912,0.0040,1.0000,0.0535
-4.500,-0.5262,0.01838,0.00832,0.0061,1.0000,0.0597
-4.250,-0.5108,0.01764,0.00758,0.0082,1.0000,0.0700
-4.000,-0.4960,0.01686,0.00693,0.0103,1.0000,0.0906
-3.750,-0.4833,0.01586,0.00628,0.0126,1.0000,0.1515
-3.500,-0.4783,0.01412,0.00573,0.0158,1.0000,0.3673
-3.250,-0.4599,0.01332,0.00581,0.0174,0.9952,0.5670
-3.000,-0.4281,0.01319,0.00592,0.0170,0.9868,0.6534
-2.750,-0.3985,0.01326,0.00618,0.0175,0.9780,0.7256
-2.500,-0.3689,0.01342,0.00638,0.0181,0.9693,0.7756
-2.250,-0.3331,0.01346,0.00635,0.0168,0.9621,0.7954
-2.000,-0.2971,0.01342,0.00620,0.0151,0.9541,0.8085
-1.750,-0.2610,0.01337,0.00602,0.0134,0.9462,0.8202
-1.500,-0.2218,0.01335,0.00591,0.0111,0.9392,0.8297
-1.250,-0.1859,0.01331,0.00581,0.0094,0.9308,0.8399
-1.000,-0.1480,0.01326,0.00569,0.0073,0.9234,0.8507
-0.750,-0.1121,0.01325,0.00564,0.0057,0.9142,0.8601
-0.500,-0.0733,0.01323,0.00559,0.0035,0.9067,0.8693
-0.250,-0.0385,0.01321,0.00555,0.0021,0.8970,0.8798
0.000,0.0000,0.01322,0.00556,0.0000,0.8882,0.8882
0.250,0.0385,0.01321,0.00555,-0.0021,0.8798,0.8969
0.500,0.0733,0.01323,0.00559,-0.0035,0.8693,0.9067
0.750,0.1121,0.01325,0.00564,-0.0057,0.8600,0.9142
1.000,0.1480,0.01326,0.00569,-0.0073,0.8507,0.9234
1.250,0.1859,0.01331,0.00581,-0.0094,0.8399,0.9308
1.500,0.2219,0.01335,0.00592,-0.0111,0.8297,0.9393
1.750,0.2610,0.01337,0.00602,-0.0134,0.8201,0.9461
2.000,0.2971,0.01342,0.00620,-0.0151,0.8085,0.9541
2.250,0.3332,0.01346,0.00634,-0.0168,0.7954,0.9620
2.500,0.3688,0.01342,0.00638,-0.0181,0.7755,0.9693
2.750,0.3985,0.01326,0.00618,-0.0175,0.7254,0.9780
3.000,0.4282,0.01319,0.00592,-0.0170,0.6539,0.9868
3.250,0.4598,0.01332,0.00581,-0.0174,0.5664,0.9952
3.500,0.4784,0.01412,0.00573,-0.0158,0.3680,1.0000
3.750,0.4834,0.01586,0.00628,-0.0126,0.1514,1.0000
4.000,0.4961,0.01685,0.00693,-0.0104,0.0908,1.0000
4.250,0.5109,0.01764,0.00759,-0.0082,0.0697,1.0000
4.500,0.5263,0.01838,0.00832,-0.0061,0.0597,1.0000
4.750,0.5424,0.01909,0.00912,-0.0041,0.0533,1.0000
5.000,0.5581,0.01989,0.00990,-0.0021,0.0474,1.0000
5.250,0.5745,0.02081,0.01090,-0.0001,0.0438,1.0000
5.500,0.5920,0.02180,0.01197,0.0018,0.0412,1.0000
5.750,0.6107,0.02290,0.01311,0.0034,0.0388,1.0000
6.000,0.6293,0.02413,0.01430,0.0047,0.0361,1.0000
6.250,0.6497,0.02548,0.01578,0.0061,0.0336,1.0000
6.500,0.6711,0.02704,0.01758,0.0073,0.0322,1.0000
6.750,0.6920,0.02884,0.01962,0.0086,0.0311,1.0000
7.000,0.7116,0.03085,0.02193,0.0101,0.0301,1.0000
7.250,0.7294,0.03288,0.02425,0.0116,0.0292,1.0000
7.500,0.7457,0.03460,0.02615,0.0130,0.0277,1.0000
7.750,0.7602,0.03662,0.02834,0.0144,0.0265,1.0000
8.000,0.7703,0.03955,0.03161,0.0163,0.0256,1.0000
8.250,0.7786,0.04250,0.03502,0.0186,0.0252,1.0000
8.500,0.7835,0.04575,0.03873,0.0210,0.0251,1.0000
8.750,0.7850,0.04917,0.04252,0.0233,0.0250,1.0000
9.000,0.7830,0.05271,0.04640,0.0255,0.0249,1.0000
9.250,0.7774,0.05628,0.05025,0.0276,0.0250,1.0000
9.500,0.7671,0.05994,0.05414,0.0296,0.0250,1.0000
9.750,0.7539,0.06315,0.05750,0.0317,0.0251,1.0000
10.000,0.7363,0.06680,0.06128,0.0328,0.0252,1.0000
10.250,0.7197,0.07092,0.06551,0.0323,0.0253,1.0000
10.500,0.7026,0.07583,0.07052,0.0301,0.0255,1.0000
10.750,0.6868,0.08157,0.07631,0.0268,0.0257,1.0000
11.000,0.6753,0.08757,0.08233,0.0232,0.0259,1.0000
