Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca64a010-il-500000-n5
Airfoil,naca64a010-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,49.939
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-naca64a010-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.000,-0.7039,0.09627,0.09393,-0.0113,1.0000,0.0078
-11.750,-0.8996,0.04915,0.04622,-0.0377,1.0000,0.0070
-11.500,-0.9176,0.04526,0.04214,-0.0370,1.0000,0.0071
-11.250,-0.9369,0.04162,0.03826,-0.0347,1.0000,0.0072
-11.000,-0.9504,0.03885,0.03527,-0.0313,1.0000,0.0073
-10.750,-0.9582,0.03651,0.03271,-0.0276,1.0000,0.0074
-10.500,-0.9623,0.03359,0.02948,-0.0245,1.0000,0.0075
-10.250,-0.9601,0.03106,0.02666,-0.0218,1.0000,0.0077
-10.000,-0.9540,0.02873,0.02403,-0.0194,1.0000,0.0079
-9.750,-0.9440,0.02676,0.02179,-0.0172,1.0000,0.0082
-9.500,-0.9309,0.02515,0.01994,-0.0154,1.0000,0.0085
-9.250,-0.9163,0.02363,0.01820,-0.0136,1.0000,0.0087
-9.000,-0.9002,0.02233,0.01668,-0.0120,1.0000,0.0090
-8.750,-0.8833,0.02117,0.01535,-0.0104,1.0000,0.0091
-8.500,-0.8653,0.02022,0.01425,-0.0089,1.0000,0.0093
-8.250,-0.8505,0.01878,0.01266,-0.0070,1.0000,0.0098
-8.000,-0.8317,0.01813,0.01197,-0.0057,1.0000,0.0102
-7.750,-0.8121,0.01758,0.01137,-0.0044,1.0000,0.0107
-7.500,-0.7923,0.01707,0.01081,-0.0031,1.0000,0.0113
-7.250,-0.7736,0.01640,0.01004,-0.0016,1.0000,0.0117
-7.000,-0.7552,0.01574,0.00931,0.0001,1.0000,0.0122
-6.750,-0.7367,0.01516,0.00865,0.0017,1.0000,0.0127
-6.500,-0.7156,0.01458,0.00800,0.0028,0.9994,0.0130
-6.250,-0.6849,0.01380,0.00715,0.0017,0.9950,0.0137
-6.000,-0.6553,0.01311,0.00641,0.0008,0.9898,0.0146
-5.750,-0.6233,0.01272,0.00601,-0.0004,0.9851,0.0161
-5.500,-0.5930,0.01228,0.00552,-0.0012,0.9788,0.0173
-5.250,-0.5611,0.01187,0.00506,-0.0024,0.9729,0.0184
-5.000,-0.5293,0.01135,0.00448,-0.0035,0.9662,0.0204
-4.750,-0.4975,0.01097,0.00409,-0.0046,0.9579,0.0229
-4.500,-0.4637,0.01067,0.00375,-0.0061,0.9497,0.0258
-4.000,-0.4002,0.00999,0.00309,-0.0082,0.9262,0.0414
-3.750,-0.3707,0.00970,0.00282,-0.0087,0.9120,0.0574
-3.500,-0.3443,0.00932,0.00255,-0.0086,0.8967,0.0925
-3.250,-0.3206,0.00881,0.00226,-0.0080,0.8812,0.1621
-3.000,-0.2997,0.00811,0.00195,-0.0070,0.8661,0.2755
-2.750,-0.2800,0.00738,0.00168,-0.0057,0.8519,0.4057
-2.500,-0.2580,0.00697,0.00156,-0.0047,0.8386,0.4964
-2.250,-0.2343,0.00675,0.00147,-0.0038,0.8265,0.5509
-2.000,-0.2101,0.00658,0.00142,-0.0031,0.8152,0.5965
-1.750,-0.1860,0.00645,0.00139,-0.0022,0.8043,0.6419
-1.500,-0.1607,0.00638,0.00137,-0.0016,0.7933,0.6691
-1.250,-0.1344,0.00634,0.00133,-0.0012,0.7831,0.6861
-1.000,-0.1078,0.00632,0.00130,-0.0009,0.7736,0.6987
-0.750,-0.0810,0.00631,0.00127,-0.0006,0.7636,0.7080
-0.500,-0.0539,0.00631,0.00125,-0.0004,0.7538,0.7172
-0.250,-0.0270,0.00630,0.00123,-0.0002,0.7448,0.7261
0.000,0.0000,0.00630,0.00123,0.0000,0.7354,0.7354
0.250,0.0270,0.00630,0.00123,0.0002,0.7261,0.7448
0.500,0.0539,0.00631,0.00125,0.0004,0.7172,0.7538
0.750,0.0810,0.00631,0.00127,0.0006,0.7080,0.7636
1.000,0.1079,0.00632,0.00130,0.0009,0.6987,0.7737
1.250,0.1344,0.00634,0.00133,0.0012,0.6862,0.7831
1.500,0.1608,0.00638,0.00137,0.0016,0.6691,0.7933
1.750,0.1861,0.00645,0.00139,0.0022,0.6418,0.8042
2.000,0.2101,0.00658,0.00142,0.0031,0.5965,0.8152
2.250,0.2342,0.00675,0.00147,0.0038,0.5504,0.8264
2.500,0.2580,0.00698,0.00155,0.0047,0.4954,0.8386
2.750,0.2800,0.00739,0.00168,0.0057,0.4043,0.8519
3.000,0.2998,0.00809,0.00195,0.0070,0.2781,0.8660
3.250,0.3206,0.00880,0.00226,0.0080,0.1630,0.8812
3.500,0.3443,0.00931,0.00255,0.0086,0.0936,0.8967
3.750,0.3708,0.00970,0.00282,0.0086,0.0581,0.9121
4.000,0.4002,0.00999,0.00309,0.0081,0.0415,0.9264
4.250,0.4315,0.01030,0.00339,0.0072,0.0325,0.9388
4.500,0.4637,0.01067,0.00375,0.0061,0.0259,0.9497
4.750,0.4975,0.01097,0.00409,0.0046,0.0229,0.9578
5.000,0.5293,0.01135,0.00448,0.0035,0.0203,0.9661
5.250,0.5612,0.01186,0.00504,0.0024,0.0183,0.9728
5.500,0.5930,0.01228,0.00552,0.0012,0.0173,0.9788
5.750,0.6234,0.01270,0.00598,0.0004,0.0159,0.9851
6.000,0.6552,0.01312,0.00643,-0.0008,0.0147,0.9898
6.250,0.6848,0.01381,0.00716,-0.0016,0.0136,0.9951
6.500,0.7155,0.01458,0.00800,-0.0027,0.0130,0.9994
6.750,0.7370,0.01513,0.00863,-0.0017,0.0126,1.0000
7.000,0.7552,0.01575,0.00932,-0.0001,0.0121,1.0000
7.250,0.7737,0.01640,0.01004,0.0016,0.0117,1.0000
7.500,0.7924,0.01707,0.01081,0.0031,0.0112,1.0000
7.750,0.8118,0.01765,0.01145,0.0044,0.0107,1.0000
8.000,0.8313,0.01821,0.01206,0.0057,0.0103,1.0000
8.250,0.8502,0.01883,0.01273,0.0070,0.0098,1.0000
8.500,0.8649,0.02029,0.01431,0.0090,0.0093,1.0000
8.750,0.8831,0.02120,0.01537,0.0104,0.0092,1.0000
9.000,0.9002,0.02232,0.01667,0.0120,0.0090,1.0000
9.250,0.9165,0.02358,0.01814,0.0136,0.0087,1.0000
9.500,0.9308,0.02515,0.01994,0.0154,0.0084,1.0000
9.750,0.9433,0.02689,0.02193,0.0173,0.0083,1.0000
10.000,0.9531,0.02888,0.02420,0.0195,0.0080,1.0000
