Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-oa209-il-500000-n5
Airfoil,oa209-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,73.3438
Max Cl/Cd alpha,7.5
Url,http://airfoiltools.com/polar/csv?polar=xf-oa209-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.750,-0.6392,0.08547,0.08341,0.0095,1.0000,0.0093
-8.500,-0.6468,0.07788,0.07581,0.0002,1.0000,0.0092
-8.250,-0.6512,0.07111,0.06894,-0.0058,0.9797,0.0092
-8.000,-0.6535,0.06481,0.06249,-0.0091,0.9716,0.0093
-7.750,-0.6543,0.05861,0.05609,-0.0106,0.9648,0.0094
-7.500,-0.6507,0.05224,0.04947,-0.0115,0.9594,0.0096
-7.000,-0.6628,0.02393,0.01901,-0.0081,0.9486,0.0100
-6.750,-0.6407,0.02180,0.01659,-0.0076,0.9451,0.0103
-6.500,-0.6167,0.02089,0.01555,-0.0072,0.9418,0.0105
-6.250,-0.5934,0.01981,0.01429,-0.0064,0.9388,0.0107
-6.000,-0.5671,0.01862,0.01291,-0.0063,0.9356,0.0110
-5.750,-0.5411,0.01748,0.01158,-0.0060,0.9320,0.0114
-5.500,-0.5157,0.01656,0.01050,-0.0055,0.9286,0.0120
-5.250,-0.4907,0.01573,0.00948,-0.0048,0.9254,0.0126
-5.000,-0.4638,0.01484,0.00846,-0.0046,0.9218,0.0130
-4.750,-0.4377,0.01418,0.00775,-0.0043,0.9166,0.0134
-4.500,-0.4135,0.01369,0.00722,-0.0034,0.9110,0.0138
-4.250,-0.3865,0.01318,0.00666,-0.0031,0.9040,0.0144
-4.000,-0.3606,0.01268,0.00610,-0.0026,0.8977,0.0150
-3.750,-0.3338,0.01219,0.00555,-0.0023,0.8915,0.0156
-3.500,-0.3065,0.01173,0.00504,-0.0021,0.8842,0.0163
-3.250,-0.2798,0.01138,0.00469,-0.0018,0.8774,0.0174
-3.000,-0.2519,0.01106,0.00436,-0.0017,0.8686,0.0186
-2.750,-0.2244,0.01073,0.00398,-0.0015,0.8596,0.0196
-2.500,-0.1972,0.01037,0.00359,-0.0012,0.8492,0.0208
-2.250,-0.1695,0.01011,0.00331,-0.0010,0.8358,0.0224
-2.000,-0.1419,0.00991,0.00304,-0.0008,0.8195,0.0245
-1.750,-0.1142,0.00969,0.00278,-0.0006,0.8023,0.0275
-1.500,-0.0858,0.00953,0.00256,-0.0006,0.7843,0.0308
-1.250,-0.0573,0.00938,0.00237,-0.0006,0.7631,0.0363
-1.000,-0.0286,0.00927,0.00219,-0.0007,0.7377,0.0456
-0.750,0.0004,0.00916,0.00205,-0.0009,0.7071,0.0648
-0.500,0.0298,0.00897,0.00191,-0.0013,0.6685,0.1231
-0.250,0.0595,0.00701,0.00168,-0.0033,0.6181,0.6744
0.000,0.0859,0.00690,0.00179,-0.0028,0.5564,0.7985
0.250,0.1121,0.00721,0.00192,-0.0022,0.4823,0.8470
0.500,0.1386,0.00756,0.00205,-0.0018,0.4205,0.8759
0.750,0.1640,0.00784,0.00218,-0.0010,0.3836,0.8964
1.000,0.1911,0.00804,0.00225,-0.0007,0.3593,0.9073
1.250,0.2194,0.00817,0.00228,-0.0008,0.3407,0.9113
1.500,0.2483,0.00831,0.00232,-0.0010,0.3246,0.9156
1.750,0.2776,0.00844,0.00236,-0.0014,0.3109,0.9195
2.000,0.3053,0.00854,0.00240,-0.0013,0.2978,0.9230
2.250,0.3334,0.00864,0.00245,-0.0013,0.2862,0.9268
2.500,0.3620,0.00876,0.00250,-0.0015,0.2752,0.9308
2.750,0.3906,0.00889,0.00257,-0.0017,0.2637,0.9343
3.000,0.4180,0.00897,0.00263,-0.0015,0.2537,0.9377
3.250,0.4459,0.00909,0.00270,-0.0015,0.2436,0.9414
3.750,0.5023,0.00934,0.00288,-0.0018,0.2245,0.9484
4.000,0.5294,0.00946,0.00296,-0.0016,0.2150,0.9520
4.250,0.5571,0.00960,0.00307,-0.0017,0.2053,0.9557
4.500,0.5852,0.00973,0.00320,-0.0018,0.1974,0.9595
4.750,0.6127,0.00989,0.00332,-0.0018,0.1878,0.9631
5.000,0.6404,0.01003,0.00345,-0.0018,0.1792,0.9672
5.250,0.6686,0.01020,0.00361,-0.0020,0.1712,0.9715
5.500,0.6975,0.01039,0.00378,-0.0024,0.1619,0.9760
5.750,0.7271,0.01059,0.00397,-0.0029,0.1532,0.9811
6.000,0.7572,0.01084,0.00417,-0.0037,0.1419,0.9875
6.250,0.7871,0.01112,0.00441,-0.0044,0.1309,1.0000
6.500,0.8160,0.01138,0.00466,-0.0049,0.1218,1.0000
6.750,0.8448,0.01168,0.00494,-0.0054,0.1132,1.0000
7.000,0.8733,0.01202,0.00525,-0.0058,0.1041,1.0000
7.250,0.9018,0.01233,0.00556,-0.0063,0.0959,1.0000
7.500,0.9300,0.01268,0.00590,-0.0067,0.0878,1.0000
7.750,0.9578,0.01308,0.00627,-0.0071,0.0787,1.0000
8.000,0.9854,0.01350,0.00667,-0.0074,0.0695,1.0000
8.250,1.0129,0.01393,0.00709,-0.0078,0.0610,1.0000
8.500,1.0399,0.01442,0.00756,-0.0080,0.0526,1.0000
8.750,1.0665,0.01495,0.00808,-0.0083,0.0452,1.0000
9.000,1.0928,0.01551,0.00863,-0.0085,0.0396,1.0000
9.250,1.1190,0.01605,0.00920,-0.0087,0.0355,1.0000
9.500,1.1447,0.01662,0.00980,-0.0088,0.0324,1.0000
9.750,1.1703,0.01719,0.01041,-0.0089,0.0298,1.0000
10.000,1.1948,0.01789,0.01115,-0.0089,0.0273,1.0000
10.250,1.2199,0.01845,0.01179,-0.0089,0.0260,1.0000
10.500,1.2442,0.01908,0.01249,-0.0088,0.0246,1.0000
10.750,1.2676,0.01980,0.01327,-0.0087,0.0233,1.0000
11.000,1.2897,0.02068,0.01422,-0.0085,0.0221,1.0000
11.250,1.3126,0.02136,0.01499,-0.0082,0.0213,1.0000
11.500,1.3345,0.02210,0.01583,-0.0079,0.0204,1.0000
11.750,1.3556,0.02291,0.01673,-0.0076,0.0196,1.0000
12.000,1.3752,0.02382,0.01772,-0.0071,0.0188,1.0000
12.250,1.3925,0.02492,0.01891,-0.0064,0.0182,1.0000
12.500,1.4082,0.02609,0.02018,-0.0056,0.0176,1.0000
12.750,1.4243,0.02711,0.02133,-0.0048,0.0172,1.0000
13.000,1.4383,0.02823,0.02257,-0.0038,0.0168,1.0000
13.250,1.4491,0.02943,0.02389,-0.0026,0.0163,1.0000
13.500,1.4556,0.03078,0.02535,-0.0010,0.0159,1.0000
13.750,1.4614,0.03231,0.02701,0.0003,0.0155,1.0000
14.000,1.4653,0.03413,0.02894,0.0014,0.0152,1.0000
14.250,1.4665,0.03634,0.03127,0.0021,0.0149,1.0000
14.500,1.4647,0.03908,0.03413,0.0023,0.0147,1.0000
14.750,1.4593,0.04255,0.03774,0.0017,0.0145,1.0000
15.000,1.4500,0.04698,0.04233,0.0000,0.0143,1.0000
15.250,1.4368,0.05262,0.04814,-0.0029,0.0142,1.0000
15.500,1.4235,0.05897,0.05467,-0.0068,0.0141,1.0000
15.750,1.4061,0.06648,0.06237,-0.0115,0.0141,1.0000
16.000,1.3846,0.07473,0.07078,-0.0163,0.0141,1.0000
16.250,1.3602,0.08309,0.07929,-0.0207,0.0141,1.0000
16.500,1.3353,0.09132,0.08765,-0.0249,0.0141,1.0000
