Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-oa212-il-200000-n5
Airfoil,oa212-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,59.5476
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-oa212-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.250,-0.6413,0.09252,0.08903,0.0009,0.9283,0.0283
-10.000,-0.8094,0.05267,0.04854,-0.0237,0.9174,0.0279
-9.750,-0.8634,0.03975,0.03432,-0.0216,0.9106,0.0284
-9.500,-0.8585,0.03608,0.03013,-0.0200,0.9057,0.0289
-9.250,-0.8430,0.03474,0.02865,-0.0187,0.9017,0.0292
-9.000,-0.8242,0.03335,0.02710,-0.0180,0.8974,0.0296
-8.750,-0.8044,0.03185,0.02541,-0.0175,0.8928,0.0301
-8.500,-0.7856,0.03035,0.02366,-0.0165,0.8887,0.0307
-8.250,-0.7675,0.02885,0.02188,-0.0151,0.8852,0.0315
-8.000,-0.7440,0.02723,0.01991,-0.0150,0.8806,0.0326
-7.750,-0.7206,0.02598,0.01844,-0.0145,0.8762,0.0335
-7.500,-0.6974,0.02527,0.01769,-0.0139,0.8723,0.0342
-7.250,-0.6751,0.02452,0.01683,-0.0129,0.8690,0.0351
-7.000,-0.6483,0.02356,0.01573,-0.0130,0.8643,0.0361
-6.750,-0.6224,0.02259,0.01457,-0.0128,0.8599,0.0372
-6.500,-0.5977,0.02173,0.01357,-0.0122,0.8560,0.0384
-6.250,-0.5739,0.02120,0.01302,-0.0114,0.8526,0.0396
-6.000,-0.5466,0.02063,0.01240,-0.0114,0.8483,0.0412
-5.750,-0.5190,0.01997,0.01160,-0.0114,0.8436,0.0430
-5.500,-0.4932,0.01933,0.01093,-0.0110,0.8395,0.0445
-5.250,-0.4683,0.01884,0.01042,-0.0104,0.8359,0.0461
-5.000,-0.4415,0.01837,0.00987,-0.0101,0.8320,0.0485
-4.750,-0.4130,0.01787,0.00936,-0.0103,0.8271,0.0510
-4.500,-0.3862,0.01747,0.00894,-0.0101,0.8226,0.0537
-4.250,-0.3603,0.01704,0.00843,-0.0095,0.8189,0.0568
-4.000,-0.3339,0.01665,0.00807,-0.0092,0.8152,0.0600
-3.750,-0.3046,0.01631,0.00771,-0.0095,0.8098,0.0645
