Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s1223-il-1000000-n5
Airfoil,s1223-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,120
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-s1223-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.500,0.2171,0.08935,0.08587,-0.1305,0.6425,0.0098
-8.250,0.2211,0.08676,0.08312,-0.1311,0.6075,0.0099
-8.000,0.2287,0.08476,0.08101,-0.1311,0.5785,0.0099
-7.750,0.2358,0.08273,0.07889,-0.1313,0.5578,0.0099
-7.500,0.2427,0.08069,0.07679,-0.1315,0.5408,0.0099
-7.250,0.2489,0.07865,0.07470,-0.1315,0.5275,0.0099
-7.000,0.2549,0.07668,0.07271,-0.1312,0.5166,0.0099
-6.750,0.2605,0.07482,0.07082,-0.1307,0.5062,0.0099
-5.750,0.3867,0.01674,0.01177,-0.2348,0.4926,0.0088
-5.500,0.4539,0.01482,0.00938,-0.2456,0.4791,0.0092
-5.250,0.5022,0.01397,0.00822,-0.2508,0.4670,0.0096
-5.000,0.5450,0.01341,0.00744,-0.2544,0.4566,0.0098
-4.750,0.5837,0.01307,0.00691,-0.2570,0.4472,0.0099
-4.500,0.6249,0.01263,0.00634,-0.2601,0.4397,0.0103
-4.250,0.6595,0.01249,0.00609,-0.2615,0.4319,0.0106
-4.000,0.6931,0.01237,0.00589,-0.2627,0.4258,0.0109
-3.750,0.7271,0.01224,0.00568,-0.2639,0.4195,0.0113
-3.500,0.7611,0.01214,0.00547,-0.2651,0.4128,0.0118
-3.250,0.7940,0.01207,0.00531,-0.2661,0.4077,0.0124
-3.000,0.8275,0.01197,0.00514,-0.2672,0.4025,0.0130
-2.750,0.8593,0.01195,0.00507,-0.2679,0.3968,0.0136
-2.500,0.8911,0.01195,0.00500,-0.2686,0.3910,0.0142
-2.250,0.9234,0.01190,0.00489,-0.2694,0.3866,0.0150
-2.000,0.9549,0.01190,0.00482,-0.2700,0.3820,0.0156
-1.750,0.9880,0.01186,0.00473,-0.2710,0.3774,0.0164
-1.500,1.0189,0.01189,0.00471,-0.2715,0.3729,0.0173
-1.250,1.0493,0.01191,0.00469,-0.2719,0.3702,0.0185
-1.000,1.0805,0.01191,0.00466,-0.2724,0.3670,0.0195
-0.750,1.1112,0.01194,0.00465,-0.2729,0.3633,0.0206
-0.500,1.1409,0.01201,0.00467,-0.2731,0.3593,0.0218
0.000,1.2001,0.01215,0.00475,-0.2735,0.3532,0.0260
0.250,1.2301,0.01219,0.00481,-0.2737,0.3510,0.0342
0.500,1.2637,0.01217,0.00490,-0.2749,0.3484,0.0967
0.750,1.2971,0.01217,0.00506,-0.2761,0.3454,0.1844
1.000,1.3255,0.01229,0.00520,-0.2761,0.3425,0.2112
1.250,1.3534,0.01243,0.00535,-0.2760,0.3397,0.2312
1.500,1.3808,0.01257,0.00549,-0.2757,0.3373,0.2423
1.750,1.4082,0.01268,0.00561,-0.2755,0.3361,0.2549
2.000,1.4357,0.01280,0.00576,-0.2752,0.3347,0.2681
2.250,1.4625,0.01294,0.00589,-0.2748,0.3329,0.2754
2.500,1.4895,0.01308,0.00605,-0.2745,0.3310,0.2855
2.750,1.5159,0.01323,0.00621,-0.2741,0.3289,0.2951
3.000,1.5425,0.01340,0.00639,-0.2737,0.3268,0.3075
3.250,1.5687,0.01358,0.00658,-0.2733,0.3248,0.3209
3.500,1.5949,0.01376,0.00678,-0.2728,0.3228,0.3373
3.750,1.6208,0.01397,0.00701,-0.2723,0.3206,0.3543
4.000,1.6470,0.01413,0.00721,-0.2719,0.3196,0.3724
4.250,1.6734,0.01428,0.00741,-0.2715,0.3184,0.3921
4.500,1.6996,0.01444,0.00762,-0.2711,0.3169,0.4137
4.750,1.7258,0.01461,0.00785,-0.2706,0.3152,0.4379
5.000,1.7517,0.01480,0.00808,-0.2702,0.3132,0.4647
5.250,1.7776,0.01500,0.00834,-0.2698,0.3107,0.4960
5.500,1.8035,0.01523,0.00861,-0.2694,0.3080,0.5356
5.750,1.8290,0.01549,0.00893,-0.2689,0.3048,0.5757
6.000,1.8549,0.01570,0.00921,-0.2685,0.3024,0.6192
6.250,1.8815,0.01587,0.00949,-0.2682,0.3002,0.6717
6.500,1.9083,0.01607,0.00981,-0.2680,0.2978,0.7400
6.750,1.9284,0.01607,0.01008,-0.2663,0.2956,0.9917
7.250,1.9746,0.01667,0.01067,-0.2644,0.2893,1.0000
7.500,1.9973,0.01697,0.01099,-0.2634,0.2859,1.0000
7.750,2.0203,0.01725,0.01128,-0.2624,0.2825,1.0000
8.000,2.0427,0.01756,0.01160,-0.2614,0.2785,1.0000
8.250,2.0640,0.01797,0.01198,-0.2602,0.2728,1.0000
8.500,2.0859,0.01832,0.01233,-0.2591,0.2667,1.0000
8.750,2.1062,0.01881,0.01278,-0.2577,0.2576,1.0000
9.000,2.1271,0.01923,0.01320,-0.2564,0.2510,1.0000
9.250,2.1463,0.01977,0.01371,-0.2549,0.2434,1.0000
9.500,2.1659,0.02026,0.01420,-0.2534,0.2373,1.0000
9.750,2.1841,0.02086,0.01478,-0.2517,0.2296,1.0000
10.000,2.2023,0.02145,0.01537,-0.2500,0.2224,1.0000
10.250,2.2185,0.02221,0.01609,-0.2480,0.2130,1.0000
10.500,2.2334,0.02305,0.01689,-0.2458,0.2015,1.0000
10.750,2.2462,0.02406,0.01785,-0.2434,0.1887,1.0000
11.000,2.2598,0.02498,0.01875,-0.2410,0.1797,1.0000
11.250,2.2706,0.02612,0.01985,-0.2383,0.1691,1.0000
11.500,2.2814,0.02725,0.02097,-0.2356,0.1598,1.0000
11.750,2.2920,0.02838,0.02209,-0.2330,0.1517,1.0000
12.000,2.3007,0.02969,0.02339,-0.2301,0.1438,1.0000
12.250,2.3093,0.03099,0.02469,-0.2273,0.1362,1.0000
12.500,2.3160,0.03246,0.02617,-0.2243,0.1290,1.0000
12.750,2.3212,0.03407,0.02779,-0.2213,0.1217,1.0000
13.000,2.3268,0.03568,0.02942,-0.2184,0.1155,1.0000
13.250,2.3294,0.03761,0.03136,-0.2153,0.1090,1.0000
13.500,2.3343,0.03937,0.03317,-0.2126,0.1043,1.0000
13.750,2.3353,0.04156,0.03539,-0.2097,0.0987,1.0000
14.000,2.3371,0.04374,0.03762,-0.2070,0.0946,1.0000
14.250,2.3378,0.04611,0.04003,-0.2045,0.0905,1.0000
14.500,2.3344,0.04901,0.04298,-0.2019,0.0864,1.0000
14.750,2.3336,0.05175,0.04580,-0.1997,0.0832,1.0000
15.000,2.3287,0.05510,0.04921,-0.1976,0.0796,1.0000
15.250,2.3188,0.05923,0.05342,-0.1957,0.0751,1.0000
15.500,2.3082,0.06370,0.05797,-0.1941,0.0710,1.0000
15.750,2.2984,0.06830,0.06266,-0.1931,0.0689,1.0000
16.000,2.2864,0.07347,0.06794,-0.1925,0.0669,1.0000
16.250,2.2719,0.07925,0.07384,-0.1923,0.0642,1.0000
16.500,2.2570,0.08529,0.08001,-0.1925,0.0628,1.0000
16.750,2.2372,0.09231,0.08716,-0.1933,0.0611,1.0000
