Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s1223-il-200000-n5
Airfoil,s1223-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,75.2615
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-s1223-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.000,0.0667,0.09842,0.09487,-0.0763,0.9040,0.0254
-6.750,0.0725,0.09608,0.09256,-0.0767,0.8926,0.0259
-6.500,0.0805,0.09346,0.08995,-0.0782,0.8821,0.0262
-6.000,0.0941,0.08841,0.08490,-0.0820,0.8553,0.0264
-5.750,0.1166,0.08481,0.08128,-0.0834,0.8412,0.0268
-5.500,0.1460,0.08112,0.07753,-0.0878,0.8237,0.0273
-5.250,0.1899,0.07651,0.07276,-0.0968,0.7995,0.0283
-5.000,0.2411,0.07140,0.06739,-0.1088,0.7613,0.0297
-4.750,0.2695,0.06699,0.06271,-0.1186,0.7172,0.0307
-4.500,0.2893,0.06363,0.05909,-0.1239,0.6727,0.0308
-4.250,0.3000,0.06209,0.05734,-0.1225,0.6362,0.0311
-4.000,0.3079,0.06067,0.05576,-0.1211,0.6086,0.0316
-3.750,0.3164,0.05900,0.05398,-0.1208,0.5878,0.0322
-3.500,0.3360,0.05240,0.04729,-0.1297,0.5753,0.0225
-3.250,0.3493,0.05111,0.04591,-0.1295,0.5594,0.0221
-3.000,0.3716,0.04831,0.04301,-0.1334,0.5462,0.0214
-2.750,0.7154,0.02037,0.01253,-0.2351,0.5196,0.0222
-2.500,0.7671,0.01927,0.01095,-0.2408,0.5067,0.0230
-2.250,0.8084,0.01871,0.01016,-0.2439,0.4952,0.0241
-2.000,0.8473,0.01838,0.00949,-0.2463,0.4856,0.0264
-1.750,0.8846,0.01807,0.00913,-0.2485,0.4766,0.0284
-1.500,0.9219,0.01787,0.00875,-0.2504,0.4689,0.0299
-1.250,0.9601,0.01767,0.00849,-0.2526,0.4617,0.0316
-1.000,0.9950,0.01766,0.00838,-0.2540,0.4548,0.0353
-0.500,1.0668,0.01767,0.00817,-0.2573,0.4429,0.0430
-0.250,1.1020,0.01768,0.00812,-0.2588,0.4368,0.0557
0.000,1.1435,0.01758,0.00827,-0.2620,0.4310,0.1819
0.250,1.1730,0.01778,0.00846,-0.2622,0.4265,0.2324
0.500,1.2015,0.01799,0.00872,-0.2622,0.4220,0.2776
0.750,1.2298,0.01822,0.00893,-0.2622,0.4177,0.3013
1.000,1.2582,0.01846,0.00908,-0.2622,0.4139,0.3130
1.250,1.2871,0.01873,0.00927,-0.2623,0.4103,0.3233
1.750,1.3446,0.01911,0.00966,-0.2624,0.4026,0.3463
2.000,1.3729,0.01935,0.00989,-0.2623,0.3990,0.3609
2.250,1.4012,0.01961,0.01014,-0.2623,0.3958,0.3782
2.500,1.4297,0.01991,0.01041,-0.2624,0.3930,0.3977
2.750,1.4584,0.02020,0.01070,-0.2625,0.3901,0.4199
3.000,1.4865,0.02043,0.01102,-0.2625,0.3870,0.4460
3.250,1.5143,0.02069,0.01134,-0.2624,0.3838,0.4772
3.500,1.5420,0.02096,0.01168,-0.2623,0.3809,0.5148
3.750,1.5696,0.02125,0.01203,-0.2622,0.3783,0.5584
4.000,1.5966,0.02156,0.01240,-0.2620,0.3759,0.6082
4.250,1.6235,0.02189,0.01277,-0.2617,0.3735,0.6698
4.500,1.6469,0.02207,0.01314,-0.2607,0.3711,0.7589
5.000,1.6836,0.02237,0.01365,-0.2565,0.3661,1.0000
5.250,1.7090,0.02274,0.01402,-0.2560,0.3637,1.0000
5.500,1.7340,0.02313,0.01440,-0.2554,0.3614,1.0000
5.750,1.7587,0.02353,0.01478,-0.2548,0.3591,1.0000
6.000,1.7838,0.02397,0.01519,-0.2543,0.3568,1.0000
6.250,1.8091,0.02442,0.01562,-0.2538,0.3544,1.0000
6.500,1.8319,0.02482,0.01610,-0.2529,0.3520,1.0000
6.750,1.8545,0.02524,0.01659,-0.2519,0.3494,1.0000
7.000,1.8763,0.02566,0.01708,-0.2507,0.3465,1.0000
7.250,1.8978,0.02610,0.01756,-0.2495,0.3437,1.0000
7.500,1.9192,0.02656,0.01803,-0.2483,0.3410,1.0000
7.750,1.9420,0.02707,0.01850,-0.2474,0.3383,1.0000
8.000,1.9617,0.02757,0.01910,-0.2460,0.3354,1.0000
8.250,1.9798,0.02806,0.01972,-0.2442,0.3321,1.0000
8.500,1.9980,0.02858,0.02033,-0.2424,0.3287,1.0000
8.750,2.0163,0.02911,0.02093,-0.2408,0.3256,1.0000
9.000,2.0348,0.02967,0.02152,-0.2391,0.3227,1.0000
9.250,2.0542,0.03028,0.02213,-0.2377,0.3198,1.0000
9.500,2.0691,0.03091,0.02295,-0.2355,0.3163,1.0000
9.750,2.0837,0.03155,0.02373,-0.2332,0.3123,1.0000
10.000,2.0975,0.03223,0.02450,-0.2309,0.3082,1.0000
10.250,2.1117,0.03295,0.02523,-0.2286,0.3046,1.0000
10.500,2.1247,0.03374,0.02617,-0.2263,0.3005,1.0000
10.750,2.1370,0.03456,0.02715,-0.2238,0.2958,1.0000
11.000,2.1469,0.03545,0.02811,-0.2211,0.2906,1.0000
11.250,2.1566,0.03643,0.02917,-0.2184,0.2857,1.0000
11.500,2.1669,0.03743,0.03035,-0.2159,0.2798,1.0000
11.750,2.1749,0.03858,0.03158,-0.2131,0.2744,1.0000
12.000,2.1832,0.03979,0.03290,-0.2105,0.2692,1.0000
12.250,2.1911,0.04109,0.03435,-0.2080,0.2630,1.0000
12.500,2.1951,0.04265,0.03597,-0.2051,0.2571,1.0000
12.750,2.2015,0.04419,0.03767,-0.2027,0.2506,1.0000
13.000,2.2033,0.04609,0.03965,-0.1999,0.2439,1.0000
13.250,2.2055,0.04811,0.04178,-0.1974,0.2366,1.0000
13.500,2.2037,0.05057,0.04432,-0.1947,0.2291,1.0000
13.750,2.2028,0.05312,0.04699,-0.1924,0.2216,1.0000
14.000,2.1966,0.05632,0.05026,-0.1900,0.2141,1.0000
14.250,2.1912,0.05965,0.05371,-0.1881,0.2059,1.0000
14.500,2.1798,0.06386,0.05799,-0.1863,0.1984,1.0000
14.750,2.1685,0.06833,0.06258,-0.1849,0.1902,1.0000
15.000,2.1524,0.07369,0.06803,-0.1841,0.1835,1.0000
15.250,2.1359,0.07943,0.07390,-0.1837,0.1762,1.0000
15.500,2.1150,0.08606,0.08064,-0.1840,0.1701,1.0000
15.750,2.0959,0.09269,0.08740,-0.1847,0.1635,1.0000
