Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s1223-il-500000-n5
Airfoil,s1223-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,97.4403
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-s1223-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,0.0436,0.11148,0.10895,-0.0851,0.9422,0.0125
-9.000,0.0483,0.10878,0.10626,-0.0854,0.9340,0.0126
-8.250,0.0686,0.10056,0.09807,-0.0879,0.9120,0.0127
-7.750,0.1049,0.09444,0.09193,-0.0922,0.8896,0.0129
-7.500,0.1606,0.08870,0.08605,-0.1050,0.8698,0.0134
-7.250,0.2416,0.08095,0.07795,-0.1268,0.8261,0.0154
-7.000,0.2676,0.07759,0.07406,-0.1336,0.7367,0.0156
-6.750,0.2651,0.07643,0.07260,-0.1312,0.6753,0.0156
-6.500,0.2636,0.07513,0.07110,-0.1291,0.6316,0.0156
-6.250,0.2640,0.07361,0.06945,-0.1275,0.6022,0.0156
-6.000,0.2642,0.07203,0.06780,-0.1259,0.5789,0.0156
-5.750,0.2635,0.07043,0.06613,-0.1242,0.5614,0.0156
-5.500,0.2621,0.06904,0.06470,-0.1220,0.5463,0.0156
-5.250,0.2601,0.06749,0.06314,-0.1200,0.5343,0.0156
-5.000,0.2636,0.06555,0.06118,-0.1192,0.5234,0.0156
-4.500,0.2713,0.06049,0.05607,-0.1182,0.5052,0.0126
-4.000,0.5776,0.01777,0.01162,-0.2346,0.4835,0.0123
-3.750,0.6441,0.01604,0.00930,-0.2443,0.4704,0.0129
-3.500,0.6801,0.01579,0.00893,-0.2463,0.4616,0.0134
-3.250,0.7163,0.01556,0.00854,-0.2483,0.4530,0.0141
-3.000,0.7573,0.01511,0.00785,-0.2512,0.4456,0.0151
-2.750,0.7974,0.01472,0.00722,-0.2538,0.4384,0.0157
-2.500,0.8359,0.01443,0.00683,-0.2562,0.4313,0.0164
-2.250,0.8713,0.01427,0.00659,-0.2578,0.4256,0.0172
-2.000,0.9065,0.01413,0.00636,-0.2593,0.4197,0.0182
-1.750,0.9414,0.01405,0.00617,-0.2607,0.4136,0.0193
-1.500,0.9745,0.01402,0.00609,-0.2618,0.4083,0.0209
-1.250,1.0076,0.01399,0.00598,-0.2628,0.4031,0.0223
-1.000,1.0417,0.01395,0.00588,-0.2640,0.3980,0.0236
-0.750,1.0733,0.01401,0.00586,-0.2647,0.3934,0.0252
-0.500,1.1048,0.01405,0.00585,-0.2653,0.3897,0.0278
-0.250,1.1355,0.01409,0.00585,-0.2658,0.3861,0.0307
0.000,1.1665,0.01415,0.00590,-0.2663,0.3824,0.0376
0.250,1.2030,0.01410,0.00600,-0.2682,0.3782,0.1183
0.500,1.2343,0.01420,0.00619,-0.2689,0.3742,0.1954
0.750,1.2630,0.01432,0.00636,-0.2690,0.3713,0.2244
1.000,1.2912,0.01445,0.00652,-0.2689,0.3686,0.2498
1.250,1.3189,0.01460,0.00667,-0.2687,0.3658,0.2658
1.500,1.3462,0.01477,0.00683,-0.2684,0.3629,0.2791
1.750,1.3733,0.01496,0.00700,-0.2681,0.3598,0.2895
2.000,1.3999,0.01517,0.00718,-0.2677,0.3569,0.2985
2.250,1.4267,0.01537,0.00738,-0.2674,0.3544,0.3097
2.500,1.4539,0.01553,0.00757,-0.2671,0.3526,0.3218
2.750,1.4808,0.01571,0.00777,-0.2668,0.3506,0.3366
3.250,1.5340,0.01610,0.00823,-0.2661,0.3462,0.3731
3.750,1.5862,0.01656,0.00874,-0.2652,0.3414,0.4159
4.000,1.6120,0.01683,0.00904,-0.2647,0.3391,0.4414
4.500,1.6647,0.01729,0.00963,-0.2640,0.3358,0.5049
4.750,1.6915,0.01750,0.00994,-0.2637,0.3342,0.5465
5.000,1.7182,0.01773,0.01028,-0.2635,0.3323,0.5929
5.250,1.7449,0.01797,0.01062,-0.2632,0.3300,0.6456
5.500,1.7715,0.01822,0.01099,-0.2629,0.3278,0.7119
5.750,1.7968,0.01844,0.01138,-0.2624,0.3256,0.8176
6.250,1.8326,0.01892,0.01193,-0.2582,0.3207,1.0000
6.500,1.8563,0.01920,0.01225,-0.2574,0.3187,1.0000
6.750,1.8799,0.01948,0.01258,-0.2565,0.3163,1.0000
7.000,1.9028,0.01978,0.01291,-0.2555,0.3134,1.0000
7.250,1.9251,0.02013,0.01327,-0.2544,0.3103,1.0000
7.500,1.9467,0.02051,0.01366,-0.2533,0.3076,1.0000
7.750,1.9679,0.02094,0.01410,-0.2520,0.3051,1.0000
8.000,1.9893,0.02136,0.01454,-0.2508,0.3026,1.0000
8.250,2.0117,0.02166,0.01492,-0.2498,0.2997,1.0000
8.500,2.0330,0.02203,0.01534,-0.2486,0.2962,1.0000
8.750,2.0530,0.02247,0.01580,-0.2472,0.2919,1.0000
9.000,2.0719,0.02299,0.01632,-0.2456,0.2883,1.0000
9.250,2.0924,0.02341,0.01680,-0.2443,0.2843,1.0000
9.500,2.1121,0.02386,0.01730,-0.2429,0.2785,1.0000
9.750,2.1285,0.02450,0.01792,-0.2410,0.2720,1.0000
10.000,2.1478,0.02499,0.01848,-0.2395,0.2664,1.0000
10.250,2.1652,0.02561,0.01912,-0.2378,0.2603,1.0000
10.500,2.1814,0.02631,0.01984,-0.2359,0.2551,1.0000
10.750,2.1977,0.02700,0.02057,-0.2341,0.2477,1.0000
11.000,2.2117,0.02787,0.02145,-0.2319,0.2409,1.0000
11.250,2.2261,0.02871,0.02233,-0.2299,0.2334,1.0000
11.500,2.2379,0.02976,0.02339,-0.2275,0.2256,1.0000
11.750,2.2488,0.03089,0.02454,-0.2250,0.2161,1.0000
12.000,2.2586,0.03213,0.02579,-0.2225,0.2072,1.0000
12.250,2.2639,0.03375,0.02739,-0.2194,0.1954,1.0000
12.500,2.2680,0.03550,0.02914,-0.2164,0.1853,1.0000
12.750,2.2723,0.03729,0.03095,-0.2134,0.1754,1.0000
13.000,2.2750,0.03928,0.03296,-0.2105,0.1671,1.0000
13.250,2.2750,0.04157,0.03528,-0.2075,0.1587,1.0000
13.500,2.2765,0.04379,0.03755,-0.2048,0.1515,1.0000
13.750,2.2735,0.04656,0.04036,-0.2020,0.1446,1.0000
14.000,2.2721,0.04927,0.04313,-0.1995,0.1378,1.0000
14.250,2.2659,0.05264,0.04656,-0.1970,0.1320,1.0000
14.500,2.2614,0.05598,0.04999,-0.1950,0.1260,1.0000
14.750,2.2525,0.06002,0.05411,-0.1932,0.1210,1.0000
15.000,2.2438,0.06426,0.05845,-0.1918,0.1163,1.0000
15.250,2.2313,0.06927,0.06356,-0.1908,0.1112,1.0000
15.500,2.2156,0.07501,0.06942,-0.1902,0.1074,1.0000
15.750,2.2020,0.08068,0.07522,-0.1902,0.1038,1.0000
16.000,2.1834,0.08736,0.08204,-0.1906,0.1003,1.0000
16.250,2.1607,0.09491,0.08971,-0.1916,0.0973,1.0000
16.500,2.1422,0.10184,0.09679,-0.1927,0.0947,1.0000
