Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-s1223rtl-il-100000-n5
Airfoil,s1223rtl-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,49.7878
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-s1223rtl-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-7.250,0.0250,0.10678,0.10224,-0.0674,0.9107,0.0490
-7.000,0.0329,0.10428,0.09977,-0.0707,0.9028,0.0498
-6.750,0.0301,0.10271,0.09825,-0.0713,0.8911,0.0500
-6.500,0.0477,0.09875,0.09432,-0.0710,0.8811,0.0506
-6.250,0.0653,0.09546,0.09104,-0.0717,0.8708,0.0518
-6.000,0.0713,0.09322,0.08883,-0.0711,0.8556,0.0533
-5.750,0.0719,0.09143,0.08708,-0.0712,0.8399,0.0561
-5.500,0.0682,0.08982,0.08550,-0.0714,0.8222,0.0568
-5.250,0.0827,0.08637,0.08205,-0.0716,0.8008,0.0586
-5.000,0.0998,0.08341,0.07902,-0.0725,0.7670,0.0607
-4.500,0.1914,0.07235,0.06661,-0.0955,0.5499,0.0665
-4.250,0.1989,0.07067,0.06462,-0.0942,0.5088,0.0674
-4.000,0.2074,0.06876,0.06255,-0.0943,0.4873,0.0682
-3.500,0.2436,0.05725,0.05079,-0.1085,0.4685,0.0380
-3.250,0.2671,0.05455,0.04796,-0.1120,0.4569,0.0372
-3.000,0.3089,0.04954,0.04279,-0.1224,0.4470,0.0361
-2.750,0.6024,0.02704,0.01744,-0.2044,0.4267,0.0382
-2.500,0.6493,0.02611,0.01618,-0.2090,0.4192,0.0400
-2.250,0.6981,0.02520,0.01482,-0.2136,0.4118,0.0439
-2.000,0.7388,0.02466,0.01411,-0.2165,0.4053,0.0465
-1.500,0.8200,0.02404,0.01311,-0.2217,0.3946,0.0558
-1.250,0.8602,0.02384,0.01282,-0.2243,0.3897,0.0620
-1.000,0.9015,0.02376,0.01258,-0.2271,0.3853,0.0741
-0.750,0.9481,0.02362,0.01237,-0.2313,0.3810,0.1038
-0.500,0.9921,0.02355,0.01261,-0.2350,0.3768,0.2395
-0.250,1.0231,0.02386,0.01294,-0.2355,0.3727,0.3004
0.000,1.0521,0.02428,0.01334,-0.2356,0.3689,0.3461
0.250,1.0815,0.02470,0.01364,-0.2357,0.3656,0.3787
0.500,1.1123,0.02506,0.01385,-0.2362,0.3627,0.3972
0.750,1.1443,0.02548,0.01411,-0.2369,0.3601,0.4117
1.000,1.1738,0.02577,0.01439,-0.2371,0.3573,0.4261
1.250,1.2031,0.02609,0.01467,-0.2373,0.3543,0.4411
1.500,1.2322,0.02644,0.01496,-0.2375,0.3511,0.4569
1.750,1.2607,0.02679,0.01526,-0.2376,0.3481,0.4729
2.000,1.2889,0.02716,0.01556,-0.2375,0.3454,0.4884
2.250,1.3174,0.02756,0.01587,-0.2376,0.3431,0.5050
2.500,1.3472,0.02805,0.01625,-0.2380,0.3410,0.5229
2.750,1.3741,0.02846,0.01671,-0.2378,0.3388,0.5405
3.000,1.4005,0.02888,0.01719,-0.2375,0.3364,0.5592
3.250,1.4268,0.02931,0.01767,-0.2372,0.3339,0.5789
3.500,1.4528,0.02975,0.01813,-0.2368,0.3313,0.6005
3.750,1.4787,0.03017,0.01858,-0.2364,0.3289,0.6236
4.000,1.5047,0.03058,0.01901,-0.2361,0.3267,0.6500
4.250,1.5309,0.03100,0.01946,-0.2358,0.3247,0.6830
4.500,1.5568,0.03143,0.01993,-0.2355,0.3230,0.7313
4.750,1.5723,0.03158,0.02029,-0.2329,0.3215,1.0000
5.000,1.5967,0.03226,0.02103,-0.2324,0.3194,1.0000
5.250,1.6208,0.03295,0.02179,-0.2319,0.3173,1.0000
5.500,1.6444,0.03363,0.02251,-0.2313,0.3150,1.0000
5.750,1.6678,0.03430,0.02320,-0.2306,0.3128,1.0000
6.000,1.6914,0.03495,0.02385,-0.2300,0.3106,1.0000
6.250,1.7153,0.03559,0.02449,-0.2294,0.3087,1.0000
6.500,1.7397,0.03624,0.02512,-0.2290,0.3070,1.0000
6.750,1.7651,0.03694,0.02578,-0.2288,0.3056,1.0000
7.000,1.7918,0.03772,0.02652,-0.2288,0.3042,1.0000
7.250,1.8089,0.03868,0.02767,-0.2271,0.3024,1.0000
7.500,1.8252,0.03969,0.02886,-0.2254,0.3004,1.0000
7.750,1.8414,0.04067,0.03001,-0.2236,0.2983,1.0000
8.000,1.8577,0.04162,0.03111,-0.2218,0.2961,1.0000
8.250,1.8744,0.04253,0.03212,-0.2202,0.2942,1.0000
8.500,1.8917,0.04343,0.03311,-0.2187,0.2925,1.0000
8.750,1.9100,0.04433,0.03409,-0.2173,0.2910,1.0000
9.000,1.9294,0.04520,0.03502,-0.2162,0.2896,1.0000
9.250,1.9503,0.04607,0.03592,-0.2153,0.2884,1.0000
9.500,1.9734,0.04695,0.03682,-0.2149,0.2872,1.0000
9.750,1.9768,0.04848,0.03860,-0.2113,0.2856,1.0000
10.000,1.9694,0.05036,0.04079,-0.2061,0.2835,1.0000
10.250,1.9641,0.05230,0.04300,-0.2015,0.2815,1.0000
10.500,1.9610,0.05425,0.04518,-0.1975,0.2796,1.0000
10.750,1.9595,0.05620,0.04733,-0.1938,0.2778,1.0000
11.000,1.9595,0.05817,0.04949,-0.1906,0.2763,1.0000
