Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc20012-il-500000-n5
Airfoil,sc20012-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,58.5887
Max Cl/Cd alpha,9
Url,http://airfoiltools.com/polar/csv?polar=xf-sc20012-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-18.250,-1.0927,0.12691,0.12365,0.0111,1.0000,0.0157
-18.000,-1.1348,0.11395,0.11052,0.0038,1.0000,0.0156
-17.750,-1.1741,0.10192,0.09831,-0.0030,1.0000,0.0156
-17.500,-1.2078,0.09104,0.08723,-0.0092,1.0000,0.0155
-17.250,-1.2359,0.08145,0.07745,-0.0149,1.0000,0.0155
-17.000,-1.2579,0.07332,0.06913,-0.0197,1.0000,0.0155
-16.750,-1.2753,0.06654,0.06218,-0.0234,1.0000,0.0156
-16.500,-1.2891,0.06089,0.05636,-0.0262,1.0000,0.0156
-16.250,-1.2995,0.05613,0.05144,-0.0281,1.0000,0.0156
-16.000,-1.3072,0.05208,0.04723,-0.0293,1.0000,0.0157
-15.750,-1.3122,0.04856,0.04356,-0.0299,1.0000,0.0158
-15.500,-1.3149,0.04548,0.04034,-0.0302,1.0000,0.0158
-15.250,-1.3177,0.04253,0.03727,-0.0302,1.0000,0.0159
-15.000,-1.3193,0.03984,0.03447,-0.0299,1.0000,0.0161
-14.750,-1.3185,0.03750,0.03202,-0.0294,1.0000,0.0162
-14.500,-1.3154,0.03545,0.02988,-0.0286,1.0000,0.0163
-14.250,-1.3105,0.03365,0.02799,-0.0277,1.0000,0.0165
-14.000,-1.3041,0.03205,0.02630,-0.0266,1.0000,0.0167
-13.750,-1.2964,0.03063,0.02478,-0.0254,1.0000,0.0169
-13.500,-1.2875,0.02935,0.02341,-0.0241,1.0000,0.0171
-13.250,-1.2777,0.02817,0.02214,-0.0226,1.0000,0.0173
-13.000,-1.2672,0.02710,0.02098,-0.0210,1.0000,0.0175
-12.750,-1.2560,0.02612,0.01991,-0.0193,1.0000,0.0178
-12.500,-1.2443,0.02522,0.01893,-0.0174,1.0000,0.0181
-12.250,-1.2318,0.02440,0.01802,-0.0155,1.0000,0.0184
-12.000,-1.2166,0.02361,0.01714,-0.0140,1.0000,0.0187
-11.750,-1.1995,0.02287,0.01632,-0.0128,1.0000,0.0190
-11.500,-1.1826,0.02205,0.01547,-0.0115,1.0000,0.0194
-11.250,-1.1638,0.02136,0.01474,-0.0105,1.0000,0.0200
-11.000,-1.1438,0.02073,0.01406,-0.0095,1.0000,0.0206
-10.750,-1.1233,0.02013,0.01341,-0.0087,1.0000,0.0213
-10.500,-1.1022,0.01955,0.01276,-0.0079,1.0000,0.0219
-10.250,-1.0808,0.01897,0.01213,-0.0071,1.0000,0.0226
-10.000,-1.0591,0.01840,0.01154,-0.0064,1.0000,0.0235
-9.750,-1.0366,0.01789,0.01102,-0.0057,1.0000,0.0245
-9.500,-1.0137,0.01742,0.01050,-0.0051,1.0000,0.0256
-9.250,-0.9906,0.01695,0.01000,-0.0045,1.0000,0.0268
-9.000,-0.9672,0.01651,0.00956,-0.0039,1.0000,0.0282
-8.750,-0.9434,0.01611,0.00914,-0.0034,1.0000,0.0297
-8.500,-0.9195,0.01572,0.00871,-0.0029,1.0000,0.0312
-8.250,-0.8956,0.01534,0.00835,-0.0024,1.0000,0.0329
-8.000,-0.8713,0.01501,0.00800,-0.0019,1.0000,0.0347
-7.750,-0.8421,0.01465,0.00762,-0.0025,0.9910,0.0366
-7.500,-0.8109,0.01430,0.00728,-0.0035,0.9777,0.0388
-7.250,-0.7799,0.01401,0.00695,-0.0044,0.9629,0.0410
-7.000,-0.7509,0.01366,0.00659,-0.0048,0.9459,0.0430
-6.750,-0.7242,0.01339,0.00629,-0.0047,0.9273,0.0450
-6.500,-0.6990,0.01317,0.00600,-0.0041,0.9088,0.0470
-6.250,-0.6744,0.01292,0.00570,-0.0035,0.8916,0.0491
-6.000,-0.6494,0.01268,0.00543,-0.0029,0.8765,0.0519
-5.500,-0.5978,0.01224,0.00490,-0.0021,0.8523,0.0577
-5.250,-0.5717,0.01202,0.00465,-0.0018,0.8428,0.0607
-5.000,-0.5448,0.01182,0.00441,-0.0016,0.8340,0.0635
-4.500,-0.4913,0.01138,0.00395,-0.0013,0.8198,0.0725
-4.250,-0.4643,0.01116,0.00374,-0.0012,0.8134,0.0790
-4.000,-0.4372,0.01095,0.00355,-0.0011,0.8079,0.0879
-3.750,-0.4099,0.01073,0.00337,-0.0010,0.8030,0.1003
-3.500,-0.3824,0.01050,0.00320,-0.0010,0.7982,0.1151
-3.250,-0.3551,0.01028,0.00304,-0.0010,0.7938,0.1329
-3.000,-0.3280,0.01002,0.00288,-0.0009,0.7896,0.1595
-2.750,-0.3009,0.00972,0.00272,-0.0009,0.7853,0.1951
-2.500,-0.2738,0.00940,0.00257,-0.0009,0.7807,0.2387
-2.250,-0.2472,0.00901,0.00241,-0.0009,0.7766,0.2967
-2.000,-0.2211,0.00853,0.00224,-0.0008,0.7731,0.3775
-1.750,-0.1953,0.00804,0.00207,-0.0006,0.7699,0.4661
-1.500,-0.1700,0.00750,0.00198,-0.0003,0.7664,0.5738
-1.250,-0.1428,0.00733,0.00204,-0.0001,0.7613,0.6419
-1.000,-0.1144,0.00731,0.00205,0.0000,0.7545,0.6670
-0.750,-0.0860,0.00731,0.00206,0.0000,0.7477,0.6877
-0.500,-0.0574,0.00729,0.00208,0.0000,0.7400,0.7038
-0.250,-0.0287,0.00732,0.00206,0.0000,0.7321,0.7139
0.000,0.0000,0.00729,0.00207,0.0000,0.7234,0.7234
0.250,0.0287,0.00732,0.00206,0.0000,0.7138,0.7322
0.500,0.0574,0.00729,0.00208,0.0000,0.7037,0.7401
0.750,0.0860,0.00731,0.00206,0.0000,0.6883,0.7478
1.000,0.1144,0.00731,0.00205,0.0000,0.6672,0.7547
1.250,0.1427,0.00733,0.00204,0.0001,0.6414,0.7615
1.500,0.1700,0.00750,0.00198,0.0003,0.5739,0.7664
1.750,0.1953,0.00804,0.00207,0.0006,0.4663,0.7699
2.000,0.2211,0.00853,0.00224,0.0008,0.3778,0.7731
2.250,0.2472,0.00901,0.00241,0.0009,0.2969,0.7766
2.500,0.2738,0.00940,0.00257,0.0009,0.2389,0.7807
2.750,0.3009,0.00972,0.00272,0.0009,0.1950,0.7853
3.000,0.3280,0.01002,0.00288,0.0009,0.1596,0.7896
3.250,0.3551,0.01028,0.00304,0.0010,0.1326,0.7938
3.500,0.3825,0.01050,0.00320,0.0010,0.1151,0.7982
3.750,0.4099,0.01073,0.00337,0.0010,0.1002,0.8030
4.000,0.4372,0.01096,0.00355,0.0011,0.0879,0.8079
4.250,0.4643,0.01115,0.00374,0.0012,0.0790,0.8134
4.500,0.4913,0.01138,0.00395,0.0013,0.0725,0.8198
5.000,0.5449,0.01182,0.00441,0.0016,0.0635,0.8340
5.250,0.5717,0.01202,0.00465,0.0018,0.0607,0.8428
5.500,0.5978,0.01224,0.00490,0.0021,0.0576,0.8523
6.000,0.6494,0.01268,0.00543,0.0029,0.0519,0.8765
6.250,0.6744,0.01292,0.00570,0.0034,0.0491,0.8916
6.500,0.6991,0.01316,0.00600,0.0041,0.0469,0.9087
6.750,0.7243,0.01339,0.00629,0.0047,0.0450,0.9273
7.000,0.7510,0.01366,0.00659,0.0048,0.0430,0.9459
7.250,0.7799,0.01400,0.00694,0.0044,0.0409,0.9630
7.500,0.8110,0.01430,0.00728,0.0035,0.0388,0.9778
7.750,0.8422,0.01465,0.00762,0.0025,0.0366,0.9911
8.000,0.8714,0.01501,0.00800,0.0019,0.0347,1.0000
8.250,0.8956,0.01534,0.00835,0.0024,0.0329,1.0000
8.500,0.9196,0.01572,0.00871,0.0029,0.0312,1.0000
8.750,0.9435,0.01611,0.00914,0.0034,0.0297,1.0000
9.000,0.9673,0.01651,0.00956,0.0039,0.0282,1.0000
9.250,0.9907,0.01695,0.00999,0.0045,0.0268,1.0000
9.500,1.0138,0.01742,0.01050,0.0051,0.0256,1.0000
9.750,1.0367,0.01789,0.01102,0.0057,0.0245,1.0000
10.000,1.0593,0.01840,0.01154,0.0063,0.0235,1.0000
10.250,1.0809,0.01897,0.01213,0.0071,0.0226,1.0000
10.500,1.1024,0.01955,0.01276,0.0078,0.0219,1.0000
10.750,1.1234,0.02013,0.01341,0.0087,0.0212,1.0000
11.000,1.1440,0.02073,0.01406,0.0095,0.0206,1.0000
11.250,1.1640,0.02136,0.01474,0.0104,0.0200,1.0000
11.500,1.1829,0.02205,0.01546,0.0114,0.0194,1.0000
11.750,1.1998,0.02287,0.01632,0.0127,0.0190,1.0000
12.000,1.2169,0.02361,0.01714,0.0139,0.0187,1.0000
12.250,1.2323,0.02440,0.01802,0.0154,0.0183,1.0000
12.500,1.2448,0.02522,0.01893,0.0173,0.0181,1.0000
12.750,1.2566,0.02612,0.01991,0.0192,0.0178,1.0000
13.000,1.2678,0.02710,0.02098,0.0209,0.0175,1.0000
13.250,1.2784,0.02817,0.02214,0.0225,0.0173,1.0000
13.500,1.2882,0.02934,0.02340,0.0239,0.0171,1.0000
13.750,1.2972,0.03062,0.02477,0.0253,0.0169,1.0000
14.000,1.3050,0.03204,0.02629,0.0265,0.0167,1.0000
14.250,1.3115,0.03364,0.02798,0.0275,0.0165,1.0000
14.500,1.3164,0.03543,0.02986,0.0285,0.0163,1.0000
14.750,1.3195,0.03748,0.03201,0.0292,0.0162,1.0000
15.000,1.3205,0.03981,0.03445,0.0297,0.0161,1.0000
15.250,1.3190,0.04250,0.03724,0.0300,0.0159,1.0000
15.500,1.3163,0.04544,0.04030,0.0300,0.0158,1.0000
15.750,1.3137,0.04851,0.04352,0.0297,0.0158,1.0000
16.000,1.3089,0.05202,0.04718,0.0290,0.0157,1.0000
16.250,1.3013,0.05607,0.05137,0.0279,0.0156,1.0000
16.500,1.2909,0.06083,0.05630,0.0260,0.0156,1.0000
16.750,1.2772,0.06647,0.06211,0.0232,0.0156,1.0000
17.000,1.2599,0.07324,0.06905,0.0194,0.0155,1.0000
17.250,1.2379,0.08139,0.07739,0.0146,0.0155,1.0000
17.500,1.2099,0.09097,0.08716,0.0090,0.0155,1.0000
17.750,1.1761,0.10189,0.09828,0.0027,0.0156,1.0000
