Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc20410-il-50000-n5
Airfoil,sc20410-il
Reynolds number,50000
Ncrit,5
Mach,0
Max Cl/Cd,22.0568
Max Cl/Cd alpha,5.5
Url,http://airfoiltools.com/polar/csv?polar=xf-sc20410-il-50000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.500,-0.4978,0.13178,0.12402,-0.0119,1.0000,0.0682
-12.250,-0.5000,0.12787,0.12012,-0.0132,1.0000,0.0677
-11.750,-0.6629,0.12137,0.11327,-0.0101,1.0000,0.0606
-11.500,-0.6622,0.11639,0.10831,-0.0120,1.0000,0.0603
-11.250,-0.6642,0.11083,0.10278,-0.0144,1.0000,0.0601
-11.000,-0.6699,0.10427,0.09625,-0.0180,1.0000,0.0599
-10.750,-0.6797,0.09662,0.08861,-0.0228,1.0000,0.0597
-10.500,-0.6947,0.08910,0.08109,-0.0277,1.0000,0.0593
-10.250,-0.7138,0.08223,0.07417,-0.0321,1.0000,0.0590
-10.000,-0.7348,0.07630,0.06818,-0.0352,1.0000,0.0587
-9.750,-0.7559,0.07131,0.06307,-0.0368,1.0000,0.0585
-9.500,-0.7708,0.06642,0.05796,-0.0384,1.0000,0.0587
-9.250,-0.7805,0.06175,0.05295,-0.0392,1.0000,0.0592
-9.000,-0.7848,0.05724,0.04798,-0.0396,1.0000,0.0600
-8.750,-0.7805,0.05326,0.04362,-0.0397,1.0000,0.0611
-8.500,-0.7680,0.05032,0.04053,-0.0395,1.0000,0.0625
-8.250,-0.7540,0.04738,0.03735,-0.0393,1.0000,0.0639
-8.000,-0.7383,0.04459,0.03427,-0.0391,1.0000,0.0658
-7.750,-0.7209,0.04195,0.03120,-0.0388,1.0000,0.0691
-7.500,-0.7016,0.03925,0.02788,-0.0386,1.0000,0.0725
-7.250,-0.6810,0.03707,0.02569,-0.0380,1.0000,0.0754
-7.000,-0.6595,0.03537,0.02386,-0.0375,1.0000,0.0800
-6.750,-0.6366,0.03360,0.02168,-0.0368,1.0000,0.0852
-6.500,-0.6146,0.03198,0.02008,-0.0359,1.0000,0.0898
-6.250,-0.5920,0.03070,0.01871,-0.0349,1.0000,0.0965
-6.000,-0.5693,0.02944,0.01734,-0.0334,1.0000,0.1024
-5.750,-0.5476,0.02841,0.01632,-0.0321,1.0000,0.1104
-5.500,-0.5259,0.02741,0.01528,-0.0306,1.0000,0.1186
-5.250,-0.5047,0.02647,0.01432,-0.0293,1.0000,0.1289
-5.000,-0.4841,0.02548,0.01342,-0.0283,1.0000,0.1420
-4.750,-0.4631,0.02445,0.01247,-0.0275,1.0000,0.1592
-4.500,-0.4419,0.02323,0.01153,-0.0271,1.0000,0.1879
-4.250,-0.4204,0.02165,0.01052,-0.0274,1.0000,0.2539
-4.000,-0.4043,0.02002,0.01030,-0.0259,1.0000,0.4368
-3.500,-0.3747,0.02134,0.01204,-0.0168,1.0000,0.6544
-3.250,-0.3568,0.02194,0.01252,-0.0136,1.0000,0.6926
-3.000,-0.3420,0.02255,0.01306,-0.0094,1.0000,0.7247
-2.750,-0.3306,0.02316,0.01361,-0.0041,1.0000,0.7564
-2.500,-0.3213,0.02356,0.01398,0.0016,1.0000,0.7838
-2.250,-0.3096,0.02366,0.01403,0.0062,1.0000,0.8067
