Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-usa35b-il-200000-n5
Airfoil,usa35b-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,75.1671
Max Cl/Cd alpha,4.5
Url,http://airfoiltools.com/polar/csv?polar=xf-usa35b-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.3519,0.08850,0.08474,-0.0415,1.0000,0.0389
-10.250,-0.3528,0.08581,0.08211,-0.0414,1.0000,0.0387
-10.000,-0.3580,0.08349,0.07985,-0.0404,1.0000,0.0384
-9.750,-0.3530,0.07989,0.07628,-0.0430,0.9948,0.0380
-9.500,-0.3405,0.07445,0.07084,-0.0501,0.9847,0.0373
-9.250,-0.3267,0.06728,0.06362,-0.0605,0.9733,0.0366
-9.000,-0.3139,0.05739,0.05357,-0.0735,0.9606,0.0359
-8.750,-0.3013,0.04756,0.04343,-0.0833,0.9483,0.0361
-8.500,-0.2903,0.03780,0.03305,-0.0895,0.9369,0.0363
-8.250,-0.2726,0.03153,0.02612,-0.0921,0.9278,0.0363
-8.000,-0.2524,0.02798,0.02207,-0.0927,0.9174,0.0365
-7.750,-0.2270,0.02535,0.01898,-0.0934,0.9095,0.0369
-7.500,-0.2030,0.02343,0.01670,-0.0933,0.8987,0.0374
-7.250,-0.1768,0.02191,0.01481,-0.0933,0.8888,0.0382
-7.000,-0.1501,0.02064,0.01320,-0.0931,0.8783,0.0388
-6.750,-0.1239,0.01959,0.01188,-0.0928,0.8668,0.0392
-6.500,-0.0973,0.01861,0.01079,-0.0926,0.8558,0.0397
-6.250,-0.0705,0.01784,0.00991,-0.0923,0.8437,0.0401
-6.000,-0.0439,0.01717,0.00915,-0.0919,0.8301,0.0407
-5.750,-0.0172,0.01658,0.00845,-0.0916,0.8161,0.0413
-5.500,0.0096,0.01603,0.00780,-0.0912,0.8019,0.0420
-5.250,0.0365,0.01552,0.00718,-0.0908,0.7876,0.0428
-5.000,0.0634,0.01509,0.00664,-0.0904,0.7724,0.0440
-4.750,0.0904,0.01474,0.00615,-0.0900,0.7564,0.0453
-4.500,0.1170,0.01433,0.00570,-0.0897,0.7406,0.0466
-4.250,0.1439,0.01402,0.00534,-0.0893,0.7254,0.0479
-4.000,0.1709,0.01375,0.00500,-0.0890,0.7106,0.0495
-3.750,0.1981,0.01352,0.00467,-0.0887,0.6967,0.0513
-3.500,0.2253,0.01330,0.00438,-0.0884,0.6840,0.0536
-3.250,0.2526,0.01315,0.00417,-0.0882,0.6721,0.0571
-3.000,0.2797,0.01301,0.00397,-0.0879,0.6590,0.0631
-2.750,0.3069,0.01288,0.00380,-0.0876,0.6459,0.0729
-2.500,0.3342,0.01274,0.00365,-0.0874,0.6344,0.0892
-2.250,0.3615,0.01262,0.00353,-0.0872,0.6250,0.1124
-2.000,0.3888,0.01240,0.00350,-0.0872,0.6167,0.1619
-1.750,0.4159,0.01222,0.00348,-0.0871,0.6088,0.2321
-1.500,0.4415,0.01163,0.00353,-0.0870,0.6015,0.4209
-1.250,0.4625,0.01086,0.00365,-0.0854,0.5942,0.6800
