Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-usa35b-il-500000-n5
Airfoil,usa35b-il
Reynolds number,500000
Ncrit,5
Mach,0
Max Cl/Cd,96.9703
Max Cl/Cd alpha,4
Url,http://airfoiltools.com/polar/csv?polar=xf-usa35b-il-500000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.250,-0.3843,0.10561,0.10307,-0.0304,1.0000,0.0218
-11.250,-0.5699,0.03223,0.02854,-0.0902,0.9664,0.0248
-11.000,-0.5537,0.02855,0.02451,-0.0921,0.9584,0.0250
-10.750,-0.5335,0.02662,0.02237,-0.0926,0.9498,0.0252
-10.500,-0.5105,0.02508,0.02066,-0.0930,0.9422,0.0254
-10.250,-0.4882,0.02380,0.01921,-0.0930,0.9329,0.0256
-10.000,-0.4645,0.02275,0.01801,-0.0929,0.9244,0.0259
-9.750,-0.4408,0.02178,0.01688,-0.0927,0.9150,0.0262
-9.500,-0.4169,0.02075,0.01568,-0.0925,0.9065,0.0265
-9.250,-0.3930,0.01969,0.01442,-0.0922,0.8966,0.0268
-9.000,-0.3686,0.01867,0.01320,-0.0919,0.8868,0.0270
-8.500,-0.3183,0.01696,0.01113,-0.0913,0.8654,0.0275
-8.250,-0.2925,0.01623,0.01023,-0.0910,0.8550,0.0278
-8.000,-0.2665,0.01558,0.00941,-0.0907,0.8439,0.0281
-7.750,-0.2401,0.01499,0.00868,-0.0905,0.8320,0.0283
-7.500,-0.2135,0.01448,0.00803,-0.0902,0.8193,0.0286
-7.250,-0.1869,0.01403,0.00744,-0.0899,0.8054,0.0288
-7.000,-0.1600,0.01364,0.00692,-0.0896,0.7904,0.0290
-6.750,-0.1338,0.01305,0.00623,-0.0893,0.7749,0.0294
-6.250,-0.0800,0.01239,0.00540,-0.0889,0.7400,0.0304
-6.000,-0.0530,0.01212,0.00504,-0.0886,0.7199,0.0308
-5.750,-0.0260,0.01188,0.00468,-0.0884,0.6994,0.0312
-5.500,0.0011,0.01166,0.00436,-0.0881,0.6811,0.0316
-5.250,0.0284,0.01146,0.00407,-0.0879,0.6662,0.0321
-5.000,0.0559,0.01128,0.00379,-0.0878,0.6530,0.0325
-4.500,0.1113,0.01096,0.00333,-0.0875,0.6301,0.0335
-4.250,0.1390,0.01080,0.00311,-0.0874,0.6196,0.0341
-4.000,0.1667,0.01066,0.00290,-0.0873,0.6079,0.0350
-3.750,0.1946,0.01055,0.00275,-0.0872,0.5964,0.0360
-3.500,0.2225,0.01047,0.00262,-0.0871,0.5872,0.0374
-3.250,0.2509,0.01038,0.00250,-0.0871,0.5797,0.0387
-3.000,0.2789,0.01029,0.00238,-0.0871,0.5730,0.0404
-2.750,0.3073,0.01020,0.00229,-0.0870,0.5667,0.0430
-2.500,0.3356,0.01012,0.00221,-0.0870,0.5605,0.0473
-2.000,0.3922,0.00995,0.00212,-0.0870,0.5489,0.0755
-1.750,0.4204,0.00988,0.00209,-0.0870,0.5426,0.0935
-1.500,0.4484,0.00981,0.00208,-0.0870,0.5371,0.1187
-1.250,0.4767,0.00964,0.00209,-0.0871,0.5318,0.1743
-0.750,0.5322,0.00930,0.00213,-0.0871,0.5197,0.3197
-0.500,0.5595,0.00889,0.00221,-0.0872,0.5138,0.4908
-0.250,0.5844,0.00834,0.00231,-0.0867,0.5080,0.7032
0.250,0.6438,0.00788,0.00242,-0.0866,0.4955,1.0000
0.500,0.6713,0.00800,0.00246,-0.0864,0.4881,1.0000
0.750,0.6990,0.00809,0.00251,-0.0863,0.4789,1.0000
1.000,0.7261,0.00823,0.00257,-0.0861,0.4657,1.0000
1.250,0.7530,0.00838,0.00263,-0.0858,0.4494,1.0000
1.500,0.7800,0.00854,0.00271,-0.0856,0.4344,1.0000
1.750,0.8068,0.00872,0.00280,-0.0853,0.4192,1.0000
2.000,0.8336,0.00890,0.00291,-0.0850,0.4041,1.0000
2.500,0.8867,0.00931,0.00317,-0.0845,0.3754,1.0000
2.750,0.9130,0.00954,0.00333,-0.0842,0.3610,1.0000
3.000,0.9392,0.00978,0.00350,-0.0839,0.3474,1.0000
3.250,0.9653,0.01003,0.00369,-0.0835,0.3352,1.0000
3.500,0.9912,0.01029,0.00389,-0.0832,0.3243,1.0000
3.750,1.0175,0.01051,0.00409,-0.0829,0.3144,1.0000
4.000,1.0434,0.01076,0.00430,-0.0825,0.3050,1.0000
4.250,1.0686,0.01106,0.00455,-0.0821,0.2924,1.0000
4.500,1.0935,0.01139,0.00480,-0.0816,0.2765,1.0000
4.750,1.1182,0.01173,0.00506,-0.0811,0.2598,1.0000
5.000,1.1428,0.01207,0.00535,-0.0806,0.2442,1.0000
5.250,1.1668,0.01244,0.00565,-0.0800,0.2268,1.0000
5.500,1.1903,0.01286,0.00598,-0.0794,0.2086,1.0000
5.750,1.2130,0.01333,0.00636,-0.0786,0.1904,1.0000
6.000,1.2354,0.01380,0.00675,-0.0778,0.1753,1.0000
6.250,1.2581,0.01423,0.00714,-0.0771,0.1646,1.0000
6.500,1.2803,0.01468,0.00755,-0.0762,0.1553,1.0000
6.750,1.3024,0.01513,0.00798,-0.0754,0.1461,1.0000
7.000,1.3244,0.01555,0.00839,-0.0745,0.1389,1.0000
7.250,1.3455,0.01602,0.00884,-0.0735,0.1310,1.0000
7.500,1.3668,0.01645,0.00928,-0.0726,0.1245,1.0000
7.750,1.3865,0.01698,0.00978,-0.0714,0.1164,1.0000
8.000,1.4061,0.01748,0.01028,-0.0702,0.1074,1.0000
