Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarkyh-il-1000000-n5
Airfoil,clarkyh-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,89.1274
Max Cl/Cd alpha,5.25
Url,http://airfoiltools.com/polar/csv?polar=xf-clarkyh-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-17.750,-0.9024,0.12288,0.12074,0.0007,1.0000,0.0083
-17.500,-0.9591,0.10802,0.10574,-0.0085,1.0000,0.0082
-17.250,-1.2971,0.04101,0.03774,-0.0624,1.0000,0.0067
-17.000,-1.3122,0.03691,0.03346,-0.0632,1.0000,0.0067
-16.750,-1.3194,0.03424,0.03064,-0.0620,1.0000,0.0068
-16.500,-1.3214,0.03224,0.02851,-0.0600,1.0000,0.0069
-16.250,-1.3196,0.03061,0.02677,-0.0577,1.0000,0.0070
-16.000,-1.3145,0.02922,0.02526,-0.0553,1.0000,0.0071
-15.750,-1.3043,0.02794,0.02387,-0.0534,1.0000,0.0073
-15.500,-1.2915,0.02677,0.02260,-0.0518,1.0000,0.0074
-15.250,-1.2767,0.02571,0.02142,-0.0502,1.0000,0.0076
-15.000,-1.2613,0.02463,0.02024,-0.0487,1.0000,0.0077
-14.750,-1.2455,0.02352,0.01903,-0.0472,1.0000,0.0080
-14.500,-1.2278,0.02255,0.01798,-0.0459,1.0000,0.0083
-14.250,-1.2088,0.02169,0.01704,-0.0446,1.0000,0.0086
-14.000,-1.1887,0.02090,0.01619,-0.0434,1.0000,0.0089
-13.750,-1.1678,0.02018,0.01539,-0.0423,1.0000,0.0092
-13.500,-1.1407,0.01949,0.01460,-0.0424,0.9616,0.0095
-13.250,-1.1201,0.01887,0.01385,-0.0410,0.9350,0.0098
-13.000,-1.1004,0.01822,0.01308,-0.0394,0.9174,0.0103
-12.750,-1.0790,0.01763,0.01240,-0.0382,0.9056,0.0107
-12.250,-1.0333,0.01660,0.01119,-0.0360,0.8885,0.0117
-12.000,-1.0098,0.01612,0.01062,-0.0350,0.8810,0.0123
-11.750,-0.9864,0.01557,0.01001,-0.0341,0.8739,0.0131
-11.500,-0.9625,0.01511,0.00946,-0.0332,0.8659,0.0140
-11.250,-0.9378,0.01471,0.00898,-0.0323,0.8587,0.0148
-11.000,-0.9134,0.01423,0.00845,-0.0315,0.8516,0.0161
-10.750,-0.8885,0.01382,0.00799,-0.0307,0.8455,0.0175
-10.500,-0.8630,0.01344,0.00755,-0.0300,0.8393,0.0190
-10.250,-0.8378,0.01305,0.00713,-0.0293,0.8331,0.0211
-10.000,-0.8119,0.01271,0.00676,-0.0287,0.8279,0.0237
-9.750,-0.7856,0.01241,0.00646,-0.0282,0.8225,0.0270
-9.500,-0.7591,0.01219,0.00623,-0.0276,0.8165,0.0300
-9.250,-0.7320,0.01200,0.00604,-0.0272,0.8111,0.0326
-9.000,-0.7049,0.01182,0.00581,-0.0267,0.8058,0.0341
-8.750,-0.6779,0.01162,0.00558,-0.0263,0.8008,0.0358
-8.500,-0.6505,0.01145,0.00541,-0.0259,0.7952,0.0374
-8.250,-0.6231,0.01130,0.00524,-0.0255,0.7876,0.0389
-8.000,-0.5957,0.01117,0.00506,-0.0251,0.7797,0.0402
-7.750,-0.5682,0.01104,0.00488,-0.0248,0.7702,0.0413
-7.500,-0.5406,0.01091,0.00470,-0.0244,0.7613,0.0420
-7.250,-0.5129,0.01081,0.00455,-0.0241,0.7512,0.0425
-7.000,-0.4858,0.01060,0.00428,-0.0237,0.7394,0.0434
-6.750,-0.4592,0.01034,0.00396,-0.0232,0.7236,0.0450
-6.500,-0.4323,0.01019,0.00373,-0.0228,0.7014,0.0461
-6.250,-0.4053,0.01008,0.00352,-0.0224,0.6760,0.0471
-5.750,-0.3510,0.00987,0.00313,-0.0217,0.6413,0.0485
-5.500,-0.3236,0.00976,0.00295,-0.0214,0.6294,0.0491
-5.250,-0.2961,0.00967,0.00280,-0.0211,0.6170,0.0497
-5.000,-0.2686,0.00959,0.00265,-0.0209,0.6049,0.0504
-4.750,-0.2410,0.00950,0.00251,-0.0206,0.5938,0.0508
-4.500,-0.2133,0.00941,0.00237,-0.0204,0.5841,0.0511
-4.250,-0.1856,0.00933,0.00225,-0.0202,0.5747,0.0514
-4.000,-0.1577,0.00924,0.00213,-0.0200,0.5673,0.0517
-3.750,-0.1300,0.00916,0.00201,-0.0198,0.5581,0.0521
-3.500,-0.1023,0.00907,0.00189,-0.0197,0.5465,0.0532
-3.250,-0.0747,0.00902,0.00178,-0.0195,0.5310,0.0545
-3.000,-0.0472,0.00897,0.00168,-0.0193,0.5148,0.0561
-2.750,-0.0196,0.00894,0.00160,-0.0191,0.4990,0.0579
-2.500,0.0079,0.00891,0.00153,-0.0190,0.4842,0.0599
-2.250,0.0353,0.00887,0.00148,-0.0188,0.4712,0.0670
-2.000,0.0623,0.00879,0.00145,-0.0186,0.4599,0.0929
-1.750,0.0900,0.00876,0.00141,-0.0185,0.4506,0.0990
-1.500,0.1177,0.00876,0.00139,-0.0184,0.4420,0.1043
-1.250,0.1455,0.00876,0.00137,-0.0184,0.4335,0.1091
-1.000,0.1730,0.00875,0.00136,-0.0183,0.4249,0.1149
-0.750,0.2007,0.00874,0.00134,-0.0183,0.4180,0.1212
-0.250,0.2552,0.00860,0.00139,-0.0181,0.4073,0.1879
0.000,0.2831,0.00861,0.00141,-0.0181,0.4019,0.1930
0.250,0.3108,0.00865,0.00144,-0.0181,0.3944,0.1986
0.500,0.3387,0.00868,0.00147,-0.0181,0.3855,0.2028
0.750,0.3665,0.00874,0.00151,-0.0182,0.3771,0.2056
1.000,0.3941,0.00878,0.00155,-0.0182,0.3662,0.2108
1.250,0.4215,0.00884,0.00159,-0.0182,0.3528,0.2173
1.750,0.4706,0.00966,0.00195,-0.0176,0.2344,0.2291
2.250,0.5235,0.00987,0.00219,-0.0174,0.2125,0.2650
2.500,0.5454,0.00940,0.00230,-0.0167,0.2076,0.4838
2.750,0.5569,0.00838,0.00238,-0.0134,0.2050,0.8395
3.000,0.5824,0.00838,0.00250,-0.0130,0.2014,0.8783
3.250,0.6109,0.00843,0.00266,-0.0133,0.1976,0.9145
3.500,0.6560,0.00862,0.00291,-0.0173,0.1929,0.9488
3.750,0.6974,0.00880,0.00311,-0.0205,0.1899,0.9661
4.250,0.7586,0.00911,0.00342,-0.0222,0.1836,0.9783
4.500,0.7854,0.00933,0.00360,-0.0223,0.1769,0.9837
4.750,0.8208,0.00951,0.00377,-0.0243,0.1698,0.9865
5.000,0.8566,0.00976,0.00397,-0.0265,0.1607,0.9902
5.250,0.8886,0.00997,0.00416,-0.0279,0.1519,0.9931
5.500,0.9192,0.01032,0.00440,-0.0291,0.1331,0.9946
5.750,0.9479,0.01117,0.00497,-0.0303,0.0821,0.9963
6.000,0.9792,0.01154,0.00530,-0.0317,0.0739,0.9978
6.250,1.0100,0.01186,0.00561,-0.0330,0.0675,0.9990
6.500,1.0400,0.01222,0.00595,-0.0341,0.0598,1.0000
6.750,1.0589,0.01273,0.00635,-0.0329,0.0427,1.0000
7.000,1.0764,0.01332,0.00685,-0.0315,0.0275,1.0000
7.250,1.0957,0.01374,0.00725,-0.0304,0.0231,1.0000
7.500,1.1156,0.01409,0.00761,-0.0294,0.0209,1.0000
7.750,1.1342,0.01452,0.00804,-0.0282,0.0186,1.0000
8.000,1.1534,0.01488,0.00842,-0.0270,0.0172,1.0000
8.250,1.1718,0.01529,0.00883,-0.0258,0.0158,1.0000
8.500,1.1890,0.01574,0.00930,-0.0244,0.0145,1.0000
8.750,1.2069,0.01614,0.00972,-0.0232,0.0138,1.0000
9.000,1.2240,0.01656,0.01017,-0.0218,0.0131,1.0000
9.250,1.2400,0.01703,0.01066,-0.0203,0.0123,1.0000
9.500,1.2542,0.01757,0.01121,-0.0186,0.0115,1.0000
9.750,1.2690,0.01804,0.01172,-0.0169,0.0110,1.0000
10.000,1.2804,0.01853,0.01225,-0.0147,0.0106,1.0000
10.250,1.2914,0.01910,0.01286,-0.0126,0.0101,1.0000
10.500,1.3031,0.01977,0.01356,-0.0109,0.0097,1.0000
10.750,1.3146,0.02055,0.01439,-0.0095,0.0093,1.0000
11.000,1.3257,0.02145,0.01533,-0.0082,0.0090,1.0000
11.250,1.3382,0.02232,0.01625,-0.0072,0.0087,1.0000
11.500,1.3502,0.02328,0.01727,-0.0063,0.0085,1.0000
11.750,1.3615,0.02434,0.01838,-0.0055,0.0082,1.0000
12.000,1.3722,0.02549,0.01958,-0.0047,0.0079,1.0000
12.250,1.3820,0.02675,0.02090,-0.0041,0.0077,1.0000
12.500,1.3907,0.02816,0.02237,-0.0035,0.0074,1.0000
12.750,1.3976,0.02977,0.02404,-0.0029,0.0072,1.0000
13.000,1.4030,0.03161,0.02594,-0.0024,0.0070,1.0000
13.250,1.4095,0.03338,0.02779,-0.0022,0.0069,1.0000
13.500,1.4151,0.03534,0.02982,-0.0021,0.0067,1.0000
13.750,1.4194,0.03749,0.03205,-0.0021,0.0066,1.0000
14.000,1.4227,0.03982,0.03446,-0.0022,0.0065,1.0000
14.250,1.4248,0.04235,0.03708,-0.0025,0.0063,1.0000
14.500,1.4258,0.04506,0.03987,-0.0028,0.0062,1.0000
14.750,1.4254,0.04793,0.04283,-0.0032,0.0061,1.0000
15.000,1.4239,0.05105,0.04604,-0.0038,0.0060,1.0000
15.250,1.4213,0.05439,0.04947,-0.0045,0.0059,1.0000
15.500,1.4175,0.05793,0.05309,-0.0053,0.0059,1.0000
15.750,1.4125,0.06174,0.05699,-0.0063,0.0058,1.0000
16.000,1.4061,0.06584,0.06119,-0.0075,0.0057,1.0000
16.250,1.3985,0.07014,0.06558,-0.0087,0.0056,1.0000
16.500,1.3894,0.07476,0.07030,-0.0101,0.0056,1.0000
16.750,1.3788,0.07970,0.07533,-0.0117,0.0055,1.0000
17.000,1.3665,0.08492,0.08066,-0.0133,0.0055,1.0000
17.250,1.3531,0.09043,0.08628,-0.0152,0.0054,1.0000
17.500,1.3386,0.09623,0.09219,-0.0172,0.0054,1.0000
17.750,1.3228,0.10233,0.09839,-0.0194,0.0053,1.0000
