Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-clarkyh-il-50000-n5
Airfoil,clarkyh-il
Reynolds number,50000
Ncrit,5
Mach,0
Max Cl/Cd,33.0135
Max Cl/Cd alpha,6
Url,http://airfoiltools.com/polar/csv?polar=xf-clarkyh-il-50000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-11.250,-0.5239,0.09649,0.08945,-0.0233,1.0000,0.0795
-11.000,-0.5328,0.09029,0.08331,-0.0276,1.0000,0.0797
-10.750,-0.5465,0.08304,0.07614,-0.0337,1.0000,0.0800
-10.500,-0.5672,0.07540,0.06853,-0.0394,1.0000,0.0801
-10.250,-0.5909,0.06847,0.06151,-0.0425,1.0000,0.0803
-10.000,-0.6129,0.06201,0.05481,-0.0440,1.0000,0.0808
-9.750,-0.6312,0.05611,0.04849,-0.0439,1.0000,0.0818
-9.500,-0.6213,0.05395,0.04634,-0.0426,1.0000,0.0839
-9.250,-0.6141,0.05169,0.04397,-0.0412,1.0000,0.0863
-9.000,-0.6135,0.04868,0.04067,-0.0393,1.0000,0.0891
-8.750,-0.6158,0.04537,0.03693,-0.0367,1.0000,0.0915
-8.500,-0.6171,0.04226,0.03323,-0.0336,1.0000,0.0935
-8.250,-0.6077,0.04057,0.03146,-0.0313,1.0000,0.0961
-8.000,-0.5973,0.03922,0.03001,-0.0290,1.0000,0.0994
-7.750,-0.5880,0.03739,0.02787,-0.0265,1.0000,0.1024
-7.500,-0.5771,0.03542,0.02547,-0.0242,1.0000,0.1048
-7.250,-0.5641,0.03374,0.02340,-0.0222,1.0000,0.1080
-7.000,-0.5489,0.03267,0.02233,-0.0205,1.0000,0.1116
-6.750,-0.5328,0.03150,0.02098,-0.0188,1.0000,0.1153
-6.500,-0.5116,0.03018,0.01936,-0.0180,0.9985,0.1186
-6.250,-0.4734,0.02879,0.01772,-0.0202,0.9905,0.1230
-6.000,-0.4347,0.02786,0.01675,-0.0226,0.9821,0.1300
-5.750,-0.3942,0.02700,0.01583,-0.0253,0.9730,0.1391
-5.500,-0.3524,0.02622,0.01496,-0.0279,0.9625,0.1495
-5.250,-0.3092,0.02561,0.01434,-0.0308,0.9515,0.1639
-5.000,-0.2622,0.02501,0.01362,-0.0343,0.9416,0.1904
-4.750,-0.2204,0.02448,0.01304,-0.0369,0.9302,0.2243
-4.500,-0.1839,0.02397,0.01254,-0.0386,0.9180,0.2584
-4.250,-0.1484,0.02349,0.01214,-0.0401,0.9068,0.2933
-4.000,-0.1136,0.02305,0.01178,-0.0413,0.8959,0.3270
-3.750,-0.0849,0.02268,0.01150,-0.0414,0.8829,0.3593
-3.500,-0.0574,0.02226,0.01125,-0.0412,0.8703,0.4000
-3.250,-0.0309,0.02172,0.01100,-0.0407,0.8586,0.4533
-3.000,-0.0059,0.02086,0.01078,-0.0396,0.8478,0.5580
-2.750,0.0990,0.02042,0.01113,-0.0509,0.8436,0.9235
-2.500,0.1632,0.02049,0.01090,-0.0573,0.8338,0.9822
-2.250,0.2107,0.02041,0.01058,-0.0613,0.8212,1.0000
-2.000,0.2334,0.02050,0.01049,-0.0603,0.8071,1.0000
-1.750,0.2560,0.02059,0.01043,-0.0593,0.7939,1.0000
-1.500,0.2791,0.02067,0.01035,-0.0583,0.7819,1.0000
-1.250,0.3008,0.02082,0.01038,-0.0572,0.7683,1.0000
-1.000,0.3227,0.02098,0.01044,-0.0562,0.7553,1.0000
-0.750,0.3448,0.02114,0.01050,-0.0552,0.7432,1.0000
-0.500,0.3678,0.02124,0.01049,-0.0542,0.7330,1.0000
-0.250,0.3897,0.02144,0.01063,-0.0532,0.7213,1.0000
