Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e205-il-1000000-n5
Airfoil,e205-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,116.526
Max Cl/Cd alpha,5
Url,http://airfoiltools.com/polar/csv?polar=xf-e205-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.500,-0.7236,0.03925,0.03734,-0.0576,1.0000,0.0065
-10.250,-0.7391,0.03440,0.03219,-0.0565,1.0000,0.0066
-10.000,-0.7340,0.03199,0.02961,-0.0554,0.9993,0.0066
-9.750,-0.7140,0.02967,0.02709,-0.0568,0.9918,0.0067
-9.500,-0.6891,0.02762,0.02484,-0.0586,0.9850,0.0069
-9.250,-0.6653,0.02560,0.02260,-0.0598,0.9747,0.0071
-9.000,-0.6408,0.02334,0.02006,-0.0610,0.9575,0.0072
-8.750,-0.6165,0.02165,0.01808,-0.0615,0.9206,0.0074
-8.500,-0.5992,0.02045,0.01654,-0.0601,0.8771,0.0076
-8.250,-0.5808,0.01938,0.01517,-0.0587,0.8435,0.0078
-8.000,-0.5610,0.01839,0.01390,-0.0576,0.8138,0.0080
-7.750,-0.5400,0.01740,0.01266,-0.0566,0.7891,0.0081
-7.500,-0.5177,0.01661,0.01165,-0.0558,0.7675,0.0083
-7.250,-0.4945,0.01590,0.01075,-0.0551,0.7481,0.0085
-7.000,-0.4709,0.01523,0.00989,-0.0544,0.7296,0.0086
-6.750,-0.4469,0.01456,0.00904,-0.0538,0.7135,0.0087
-6.500,-0.4224,0.01398,0.00830,-0.0532,0.6987,0.0089
-6.250,-0.3975,0.01347,0.00766,-0.0528,0.6848,0.0090
-6.000,-0.3723,0.01297,0.00703,-0.0523,0.6726,0.0090
-5.750,-0.3467,0.01254,0.00649,-0.0519,0.6614,0.0091
-5.500,-0.3211,0.01212,0.00595,-0.0514,0.6505,0.0092
-5.000,-0.2713,0.01093,0.00455,-0.0504,0.6309,0.0098
-4.750,-0.2455,0.01051,0.00403,-0.0500,0.6221,0.0101
-4.500,-0.2193,0.01019,0.00364,-0.0496,0.6132,0.0105
-4.250,-0.1926,0.00992,0.00331,-0.0493,0.6057,0.0109
-4.000,-0.1659,0.00970,0.00301,-0.0491,0.5977,0.0112
-3.750,-0.1389,0.00949,0.00276,-0.0489,0.5906,0.0118
