Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-e205-il-200000-n5
Airfoil,e205-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,74.0237
Max Cl/Cd alpha,6.75
Url,http://airfoiltools.com/polar/csv?polar=xf-e205-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.250,-0.4235,0.08575,0.08227,-0.0308,1.0000,0.0189
-9.000,-0.4255,0.08170,0.07826,-0.0326,1.0000,0.0186
-8.750,-0.4298,0.07729,0.07390,-0.0347,1.0000,0.0184
-8.500,-0.4375,0.07261,0.06930,-0.0373,1.0000,0.0182
-8.250,-0.4504,0.06785,0.06461,-0.0403,1.0000,0.0180
-8.000,-0.4610,0.06184,0.05861,-0.0442,1.0000,0.0178
-7.750,-0.4703,0.05574,0.05243,-0.0465,1.0000,0.0175
-7.500,-0.4814,0.04928,0.04580,-0.0471,1.0000,0.0173
-7.250,-0.4775,0.04120,0.03727,-0.0503,0.9897,0.0171
-7.000,-0.4603,0.03444,0.02987,-0.0533,0.9749,0.0171
-6.750,-0.4383,0.03008,0.02493,-0.0547,0.9593,0.0175
-6.500,-0.4121,0.02709,0.02138,-0.0557,0.9431,0.0184
-6.250,-0.3839,0.02467,0.01847,-0.0565,0.9253,0.0188
-6.000,-0.3545,0.02250,0.01587,-0.0573,0.9061,0.0189
-5.750,-0.3245,0.02078,0.01376,-0.0579,0.8860,0.0190
-5.500,-0.2966,0.01942,0.01209,-0.0578,0.8641,0.0192
-5.250,-0.2703,0.01817,0.01060,-0.0574,0.8426,0.0195
-5.000,-0.2460,0.01696,0.00919,-0.0567,0.8217,0.0201
-4.750,-0.2219,0.01610,0.00817,-0.0559,0.8021,0.0207
-4.500,-0.1976,0.01545,0.00737,-0.0551,0.7842,0.0215
-4.250,-0.1730,0.01491,0.00667,-0.0543,0.7675,0.0225
-4.000,-0.1480,0.01451,0.00613,-0.0537,0.7519,0.0242
-3.750,-0.1228,0.01414,0.00561,-0.0530,0.7377,0.0262
-3.500,-0.0978,0.01370,0.00502,-0.0524,0.7246,0.0279
-3.250,-0.0724,0.01334,0.00456,-0.0518,0.7122,0.0308
-3.000,-0.0466,0.01301,0.00413,-0.0512,0.7004,0.0376
-2.750,-0.0213,0.01262,0.00378,-0.0507,0.6896,0.0638
-2.500,0.0041,0.01228,0.00354,-0.0502,0.6796,0.1048
-2.250,0.0290,0.01191,0.00335,-0.0498,0.6699,0.1671
-2.000,0.0536,0.01150,0.00320,-0.0494,0.6606,0.2474
-1.500,0.1005,0.01062,0.00301,-0.0479,0.6437,0.4623
-1.250,0.1223,0.01017,0.00295,-0.0466,0.6361,0.5854
