Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe398-il-100000-n5
Airfoil,goe398-il
Reynolds number,100000
Ncrit,5
Mach,0
Max Cl/Cd,51.4517
Max Cl/Cd alpha,5.75
Url,http://airfoiltools.com/polar/csv?polar=xf-goe398-il-100000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.500,-0.2232,0.13133,0.12653,-0.0441,1.0000,0.0665
-12.250,-0.2312,0.12900,0.12425,-0.0440,1.0000,0.0666
-11.750,-0.2870,0.12225,0.11690,-0.0458,1.0000,0.0506
-11.500,-0.2830,0.11948,0.11418,-0.0452,1.0000,0.0494
-11.250,-0.2846,0.11635,0.11110,-0.0452,1.0000,0.0481
-11.000,-0.2897,0.11301,0.10783,-0.0453,1.0000,0.0473
-10.750,-0.2959,0.10996,0.10485,-0.0451,1.0000,0.0470
-10.500,-0.3017,0.10760,0.10256,-0.0442,1.0000,0.0477
-10.250,-0.3114,0.10519,0.10024,-0.0430,1.0000,0.0479
-10.000,-0.3112,0.10124,0.09632,-0.0452,0.9974,0.0481
-9.750,-0.3027,0.09579,0.09087,-0.0505,0.9912,0.0481
-9.500,-0.2960,0.09004,0.08512,-0.0562,0.9846,0.0478
-9.250,-0.2917,0.08437,0.07945,-0.0618,0.9761,0.0481
-9.000,-0.2910,0.07813,0.07322,-0.0683,0.9662,0.0487
-8.750,-0.2997,0.07023,0.06532,-0.0772,0.9532,0.0491
-8.500,-0.3261,0.05654,0.05136,-0.0903,0.9358,0.0489
-8.250,-0.3438,0.04709,0.04132,-0.0954,0.9228,0.0491
-8.000,-0.3414,0.04099,0.03454,-0.0973,0.9142,0.0500
-7.750,-0.3386,0.03677,0.02957,-0.0964,0.9037,0.0514
-7.500,-0.3110,0.03540,0.02814,-0.0973,0.8985,0.0527
-7.250,-0.2847,0.03364,0.02615,-0.0981,0.8937,0.0540
-7.000,-0.2690,0.03191,0.02410,-0.0967,0.8847,0.0551
