Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-goe398-il-50000-n5
Airfoil,goe398-il
Reynolds number,50000
Ncrit,5
Mach,0
Max Cl/Cd,31.0112
Max Cl/Cd alpha,7
Url,http://airfoiltools.com/polar/csv?polar=xf-goe398-il-50000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.500,-0.3150,0.10712,0.10032,-0.0401,1.0000,0.0825
-9.250,-0.3281,0.10483,0.09814,-0.0386,1.0000,0.0809
-8.750,-0.3917,0.09843,0.09201,-0.0379,1.0000,0.0760
-8.500,-0.3883,0.09360,0.08719,-0.0429,0.9924,0.0760
-8.250,-0.3867,0.08796,0.08153,-0.0494,0.9827,0.0760
-8.000,-0.3833,0.08132,0.07481,-0.0567,0.9725,0.0760
-7.750,-0.3810,0.07513,0.06849,-0.0621,0.9619,0.0760
-7.500,-0.3778,0.06967,0.06286,-0.0658,0.9520,0.0758
-7.250,-0.3712,0.06375,0.05663,-0.0701,0.9437,0.0758
-7.000,-0.3660,0.05953,0.05218,-0.0714,0.9338,0.0767
-6.750,-0.3418,0.05751,0.05008,-0.0730,0.9282,0.0788
-6.500,-0.3334,0.05447,0.04680,-0.0730,0.9187,0.0802
-6.250,-0.3138,0.05044,0.04233,-0.0752,0.9128,0.0816
-6.000,-0.3047,0.04748,0.03897,-0.0743,0.9034,0.0825
-5.750,-0.2827,0.04428,0.03519,-0.0753,0.8974,0.0849
-5.500,-0.2664,0.04180,0.03211,-0.0746,0.8898,0.0874
-5.250,-0.2427,0.04040,0.03062,-0.0746,0.8830,0.0897
-5.000,-0.2108,0.03868,0.02861,-0.0758,0.8783,0.0925
-4.750,-0.1942,0.03755,0.02719,-0.0743,0.8696,0.0958
-4.500,-0.1641,0.03602,0.02524,-0.0748,0.8634,0.1003
-4.250,-0.1336,0.03498,0.02415,-0.0753,0.8570,0.1045
-4.000,-0.1088,0.03405,0.02300,-0.0747,0.8478,0.1100
-3.750,-0.0687,0.03290,0.02173,-0.0766,0.8425,0.1180
-3.500,-0.0487,0.03232,0.02101,-0.0751,0.8319,0.1255
-3.250,-0.0103,0.03144,0.02011,-0.0766,0.8260,0.1371
-3.000,0.0145,0.03099,0.01961,-0.0760,0.8171,0.1498
-2.750,0.0485,0.03040,0.01898,-0.0768,0.8100,0.1690
-2.250,0.1068,0.02942,0.01801,-0.0770,0.7944,0.2238
-2.000,0.1453,0.02858,0.01735,-0.0786,0.7891,0.2706
-1.750,0.1638,0.02830,0.01729,-0.0771,0.7789,0.3161
-1.500,0.1959,0.02758,0.01697,-0.0775,0.7725,0.4025
-1.250,0.2159,0.02705,0.01699,-0.0757,0.7635,0.5233
-1.000,0.3412,0.02559,0.01647,-0.0923,0.7608,1.0000
-0.750,0.3739,0.02549,0.01604,-0.0928,0.7536,1.0000
-0.500,0.3891,0.02580,0.01614,-0.0905,0.7420,1.0000
